,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
132,Otávio,2,0.3,58.0,89.1,0.0,2.6,0.0,6.85
133,Juan Bernat,2,0.8,41.6,90.8,0.4,0.6,0.0,6.84
134,Pablo,1,0.2,39.2,84.4,0.0,3.5,0.0,6.84
135,Édouard Mendy,0.0,0.0,26.7,58.0,0.0,7.8,0.0,6.84
136,Thomas Monconduit,1,1,43.9,77.9,0.1,3.0,0.1,6.84
137,Mehdi Merghem,1,0.2,28.8,76.8,0.3,1.3,0.1,6.83
138,Björn Engels,1,0.3,39.7,83.8,0.0,3.8,0.0,6.83
139,Enock Kwateng,1,0.6,32.3,70.4,0.6,1.1,0.0,6.83
140,Clément Grenier,5,1.7,51.2,82.2,0.9,3.8,0.1,6.83
141,Andrei Girotto,0.0,0.3,40.0,79.3,0.1,2.2,0.0,6.83
142,Ibrahima Sissoko,2,0.7,38.4,80.5,0.2,2.1,0.0,6.82
143,Hilton,2,0.2,41.7,82.1,0.1,6.6,0.0,6.82
144,Jonathan Ikoné,9,1.5,24.1,73.8,0.1,0.8,0.1,6.82
145,Júlio Tavares,4,0.8,19.7,58.6,0.1,0.3,0.0,6.82
146,Youssef Aït Bennasser,2,0.9,56.2,86.3,0.0,4.0,0.2,6.82
147,Dimitri Payet,6,2.7,31.5,77.5,2,1.4,0.2,6.81
148,Brice Samba,0.0,0.0,27.7,58.4,0.0,10.0,0.0,6.81
149,Romain Thomas,1,0.3,43.2,85.1,0.0,3.6,0.0,6.81
150,Lebo Mothiba,0.0,0.7,14.7,81.8,0.0,0.3,0.0,6.81
151,Kamil Glik,0.0,0.1,49.2,83.9,0.0,3.7,0.0,6.81
152,Jonathan Gradit,0.0,0.3,34.2,81.2,0.2,2.3,0.0,6.8
153,Alphonse Areola,0.0,0.0,19.8,83.2,0.0,2.9,0.0,6.8
154,Ludovic Butelle,0.0,0.0,22.6,56.8,0.0,7.2,0.0,6.8
155,Daniel Congré,2,0.2,41.3,81.9,0.0,3.4,0.0,6.8
156,Mathieu Gorgelin,0.0,0.0,22.0,85.2,0.0,3.5,0.0,6.8
157,Nuno da Costa,5,0.6,14.1,69.1,0.1,0.4,0.1,6.8
158,Valère Germain,2,0.6,16.2,78.0,0.1,0.2,0.0,6.8
159,Boubacar Kamara,0.0,0.2,44.7,86.4,0.1,3.0,0.1,6.8
160,Adrien Tameze,3,0.7,50.3,89.1,0.0,2.5,0.1,6.8
161,Mike Maignan,0.0,0.0,24.3,57.1,0.0,5.6,0.0,6.79
162,Baptiste Santamaría,0.0,0.3,39.2,81.0,0.0,3.2,0.0,6.79
163,Mathieu Cafaro,3,1.1,17.8,68.8,1.2,1.1,0.0,6.79
164,Denis Bouanga,2,0.9,16.8,69.7,0.4,0.5,0.0,6.79
165,Jean-Clair Todibo,0.0,0.1,42.3,84.6,0.0,1.6,0.0,6.79
166,Morgan Poaty,0.0,1,36.0,61.1,1,1.0,0.0,6.78
167,Mexer,0.0,0.1,43.7,89.0,0.0,3.4,0.0,6.78
168,Abdoulaye Diallo,0.0,0.0,20.2,66.1,0.0,4.3,0.0,6.77
169,Hamari Traoré,2,1,43.6,82.5,0.5,2.1,0.1,6.77
170,Stanley N'Soki,0.0,0.3,38.1,86.9,0.0,0.8,0.0,6.77
171,Ambroise Oyongo,0.0,0.9,29.1,70.7,0.7,1.1,0.0,6.77
172,Youssef Aït Bennasser,0.0,0.5,49.5,87.6,0.2,4.1,0.1,6.77
173,Fouad Chafik,2,0.8,33.7,74.7,0.4,1.9,0.0,6.77
174,Jérémy Morel,0.0,0.3,58.8,88.9,0.0,3.3,0.0,6.77
175,Jordan Lefort,1,0.2,34.4,69.5,0.3,2.3,0.0,6.76
176,Mauro Goicoechea,0.0,0.0,27.0,61.1,0.0,7.1,0.0,6.76
177,Kevin Strootman,5,0.9,40.8,82.3,0.2,1.6,0.0,6.76
178,Benjamin Henrichs,2,1,38.3,74.0,0.5,1.1,0.0,6.75
179,Anthony Gonçalves,2,0.8,22.2,75.5,0.6,0.8,0.0,6.75
180,Paul Bernardoni,0.0,0.0,25.1,49.4,0.0,6.6,0.0,6.75
181,Jason Denayer,0.0,0.2,63.5,93.8,0.0,1.4,0.0,6.75
182,Eduardo Camavinga,0.0,0.1,20.4,84.6,0.0,1.3,0.1,6.75
183,Théo Pellenard,0.0,0.7,43.8,82.9,0.5,0.2,0.0,6.75
184,Jules Koundé,1,0.3,53.0,80.7,0.0,3.2,0.0,6.75
185,Adil Rami,1,0.4,52.7,83.4,0.0,4.1,0.0,6.74
186,Benoît Costil,0.0,0.1,27.9,66.8,0.0,8.5,0.0,6.74
187,Jordan Ferri,1,1,42.7,82.1,0.0,3.3,0.2,6.74
188,Lima,4,1.6,39.8,73.3,1.7,2.1,0.0,6.74
189,Nicolas Benezet,1,1.7,29.8,74.9,1.3,0.8,0.0,6.74
190,Nayef Aguerd,0.0,0.2,44.3,78.0,0.2,3.8,0.0,6.74
191,Valentin Rosier,3,0.6,37.0,83.8,0.4,1.3,0.0,6.74
192,Remi Oudin,4,0.7,20.4,60.5,0.1,1.2,0.1,6.74
193,Robert Beric,1,0.3,8.5,68.9,0.0,0.0,0.0,6.74
194,Aurelien Tchouameni,0.0,0.3,27.9,80.3,0.0,1.8,0.0,6.73
195,Adama Soumaoro,1,0.2,46.3,94.3,0.0,2,0.0,6.73
196,Sada Thioub,5,1,22.5,78.4,0.5,0.6,0.0,6.73
197,Mehdi Abeid,0.0,0.8,39.8,86.5,0.2,2.5,0.0,6.73
198,Moreto Cassamã,0.0,0.0,48.0,81.3,0.0,3,0.0,6.73
199,Thomas Foket,0.0,0.4,33.1,76.6,0.3,1.2,0.0,6.73
200,Rafael Leão,3,0.5,10.0,72.6,0.0,0.2,0.0,6.73
201,Timothée Kolodziejczak,3,0.4,50.0,82.0,0.3,3.3,0.0,6.73
202,Lassana Diarra,0.0,0.3,48.7,89.7,0.0,1.3,0.0,6.72
203,Maxime Poundjé,2,1.0,35.9,80.1,0.8,1.1,0.0,6.72
204,Kalifa Coulibaly,2,0.7,13.4,53.3,0.1,0.1,0.0,6.72
205,Hassane Kamara,0.0,0.4,22.6,81.2,0.2,0.9,0.0,6.72
206,Adama Mbengue,0.0,0.2,22.7,64.4,0.4,2.3,0.0,6.72
207,Romain Hamouma,4,1.2,17.6,78.4,0.6,0.3,0.0,6.72
208,Luiz Gustavo,0.0,0.3,47.9,88.8,0.1,2.5,0.0,6.72
209,Wesley Lautoa,0.0,0.1,46.5,86.5,0.0,3.4,0.0,6.72
210,Maxwel Cornet,5,0.9,15.3,77.3,0.3,0.1,0.0,6.71
211,Matt Miazga,0.0,0.3,53.4,81.0,0.1,2.9,0.1,6.71
212,Lionel Carole,3,1,35.5,79.7,0.4,1.4,0.0,6.71
213,Arbër Zeneli,3,1.2,16.9,77.6,0.4,0.4,0.0,6.71
214,Abdoulaye Bamba,4,0.5,30.5,78.0,0.4,0.9,0.0,6.71
215,Matthieu Dossevi,2,1.7,20.6,76.0,1.4,0.6,0.0,6.71
216,Maxime Lopez,3,1.5,69.3,91.3,0.8,2.0,0.0,6.71
217,Mateo Pavlovic,1,0.2,31.4,86.2,0.0,1.7,0.0,6.71
218,Matz Sels,0.0,0.0,25.8,57.3,0.0,7.7,0.0,6.71
219,Benjamin Bourigeaud,5,1,31.9,79.8,0.8,2.2,0.0,6.71
220,Youssouf Sabaly,1,0.8,43.2,81.6,0.5,0.9,0.0,6.71
221,Sergi Palencia,3,0.8,36.2,80.0,0.6,1.9,0.0,6.71
222,Ciprian Tatarusanu,0.0,0.0,26.5,68.5,0.0,7.9,0.0,6.71
223,Adrien Thomasson,8,1.2,32.7,78.1,0.6,1.2,0.0,6.7
224,Martin Terrier,0.0,0.9,15.8,84.2,0.1,0.3,0.1,6.7
225,Patrick Burner,0.0,0.3,36.5,83.9,0.4,1.5,0.0,6.7
226,Alexis Blin,1,0.3,34.6,81.1,0.1,1.4,0.0,6.7
227,Dimitri Lienard,2,0.6,32.5,83.8,1,2.7,0.0,6.7
228,Loïck Landre,0.0,0.0,24.4,80.6,0.0,1.7,0.0,6.69
229,Jemerson,1,0.2,43.1,86.9,0.0,2.4,0.0,6.69
230,Ludovic Blas,6,0.6,26.6,77.2,0.1,1.9,0.1,6.69
231,Lucas Deaux,1,0.7,28.5,70.4,0.2,1.7,0.0,6.69
232,Presnel Kimpembe,1,0.2,60.9,93.6,0.0,2.3,0.0,6.69
233,Paul Baysse,0.0,0.3,41.0,80.0,0.0,4.9,0.0,6.69
234,Nicolas Cozza,1,0.3,36.8,84.1,0.0,1.8,0.0,6.69
235,Saman Ghoddos,4,1.3,18.0,72.8,1,0.6,0.0,6.69
236,Anthony Caci,1,0.4,42.2,81.4,0.4,2.9,0.0,6.68
237,Dimitry Bertaud,0.0,0.0,33.0,48.5,0.0,9.0,0.0,6.68
238,Anthony Lopes,0.0,0.0,26.5,77.6,0.0,5.4,0.0,6.68
239,Angelo Fulgini,1,1.3,23.8,77.5,0.5,0.8,0.1,6.67
240,Antonin Bobichon,2,0.9,27.5,83.3,0.5,1.5,0.0,6.67
241,Olivier Boscagli,1,0.8,39.3,79.5,0.4,2.0,0.0,6.67
242,Christophe Jallet,0.0,0.2,39.1,84.1,0.4,1.4,0.0,6.67
243,Lukas Lerager,1,0.5,35.9,79.6,0.1,1.1,0.1,6.67
244,Layvin Kurzawa,2,0.6,24.9,84.4,0.2,0.2,0.0,6.67
245,Souleyman Doumbia,0.0,0.1,41.6,87.6,0.1,0.3,0.0,6.66
246,Kelvin Amian,1,0.3,30.3,77.8,0.1,1.4,0.0,6.66
247,Zacharie Boucher,0.0,0.0,22.5,51.1,0.0,5.0,0.0,6.65
248,Rolando,0.0,0.1,41.6,87.3,0.0,2.5,0.0,6.65
249,Jacques François Moubandje,0.0,0.6,37.5,78.6,0.4,2.0,0.0,6.65
250,Duje Caleta-Car,0.0,0.1,41.1,84.5,0.0,3.9,0.0,6.65
251,Yann Karamoh,1,1.2,20.8,77.3,0.9,0.5,0.1,6.65
252,Xeka,0.0,0.4,44.7,82.0,0.2,2.5,0.0,6.65
253,Benjamin Jeannot,0.0,0.5,19.9,72.2,0.0,0.7,0.0,6.64
254,Faitout Maouassa,1,0.5,24.9,71.2,0.6,1.6,0.0,6.64
255,Lucas Evangelista,0.0,0.3,20.9,76.5,0.2,0.6,0.0,6.64
256,Antonio Barreca,1,0.7,24.0,75.0,0.9,1.1,0.0,6.64
257,Cédric Yambéré,0.0,0.1,36.8,83.2,0.0,3.5,0.0,6.64
258,Oussama Haddadi,2,1.1,38.0,76.5,0.9,1.9,0.0,6.64
259,Kévin Monnet-Paquet,1,0.6,24.3,78.9,0.2,0.4,0.0,6.64
260,François Kamano,1,0.9,24.1,81.0,0.1,0.9,0.1,6.64
261,Moussa Doumbia,1,0.7,21.5,80.0,0.4,0.9,0.0,6.64
262,Pierre-Yves Polomat,2,0.7,23.7,80.8,0.3,0.9,0.0,6.63
263,Aleksandr Golovin,3,0.9,34.0,82.3,0.5,1.4,0.0,6.63
264,John Steven Mendoza,2,1.1,23.9,78.1,0.6,0.7,0.0,6.63
265,Florian Miguel,1,0.7,32.1,76.7,0.2,1.9,0.0,6.63
266,Tomás Hubocan,0.0,0.0,8.5,70.6,0.0,0.0,0.0,6.63
267,Moussa Diaby,6,0.8,20.6,83.3,0.1,0.2,0.1,6.62
268,Loïc Rémy,2,0.3,8.4,77.5,0.0,0.2,0.0,6.62
269,Adrien Hunou,1,0.5,15.4,76.8,0.0,0.1,0.0,6.62
270,Régis Gurtner,0.0,0.1,28.2,52.2,0.0,8.4,0.0,6.62
271,Bafodé Diakité,0.0,0.2,29.4,80.0,0.0,1.0,0.0,6.62
272,Danilo Barbosa,0.0,0.5,29.6,85.6,0.0,0.6,0.0,6.61
273,Neven Subotic,0.0,0.2,43.7,84.1,0.0,4.0,0.0,6.61
274,Arnaud Nordin,1,0.5,12.1,84.4,0.2,0.2,0.0,6.61
275,Rachid Alioui,0.0,0.7,13.2,72.3,0.1,0.3,0.0,6.61
276,Diego Benaglio,0.0,0.0,23.3,70.5,0.0,4.4,0.0,6.61
277,Baptiste Reynet,0.0,0.1,31.1,61.6,0.0,8.5,0.0,6.61
278,Benjamin Corgnet,2,0.4,15.1,64.8,0.1,0.5,0.1,6.6
