,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
110,Issiaga Sylla,2.3,1.6,1.5,0.3,2.7,1.0,0.4,0.0,2.0,0.0,0.7,0.7,0.7,0.6,0.1,0.8,1.4,0.0,0.7,37.5,77.9,0.4,1.5,0.0
111,Christopher Nkunku,1.0,0.4,1.0,0.0,0.3,0.4,0.1,0.0,3.0,2.0,1.0,0.8,1.0,1.4,0.0,0.9,1.3,2.0,0.8,27.9,91.0,0.1,0.4,0.2
112,Gianluigi Buffon,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,19.4,90.0,0.0,2.0,0.0
113,Damien Da Silva,1.2,1.2,0.8,0.3,4.5,0.2,1.1,0.0,2.0,1.0,0.4,0.1,0.2,0.7,0.0,0.1,0.2,1.0,0.1,42.9,87.8,0.0,2.4,0.0
114,Adrien Silva,3.3,1.1,1.5,0.1,1.5,2.1,0.1,0.0,0.0,0.0,0.6,0.4,1.0,1.1,0.0,1.0,1.0,0.0,0.4,48.7,83.2,0.2,3.6,0.0
115,Pedro Rebocho,1.7,1.1,0.5,0.2,2.0,0.7,0.4,0.0,0.0,8.0,0.5,1.5,0.6,0.9,0.0,0.8,0.9,8.0,1.5,40.4,79.7,1.8,2.1,0.0
116,Ismaël Aaneba,4.0,2.7,2.0,0.0,2.3,1.7,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.7,1.3,0.0,0.7,28.0,64.3,0.7,1.3,0.0
117,Dante,1.5,1.1,1.2,0.7,4.2,0.5,0.8,0.0,1.0,1.0,0.6,0.2,0.1,0.4,0.0,0.1,0.3,1.0,0.2,66.6,91.5,0.0,3.4,0.0
118,Pierrick Capelle,2.0,1.5,1.2,0.1,1.7,1.4,0.1,0.0,3.0,3.0,1.1,1.0,0.7,0.3,0.0,1.3,1.3,3.0,1.0,31.0,83.9,0.7,1.2,0.0
119,Jeff Reine-Adélaïde,1.1,0.5,0.9,0.0,0.1,0.7,0.0,0.0,3.0,3.0,1.1,1.0,2.7,1.9,0.1,2.1,2.1,3.0,1.0,31.2,84.1,0.0,0.9,0.1
120,Mario Balotelli,0.3,0.2,1.6,0.0,0.4,0.3,0.1,0.0,8.0,0.0,2.9,0.5,0.7,1.7,0.3,0.4,0.7,0.0,0.5,15.2,68.9,0.0,0.7,0.0
121,Ramy Bensebaini,2.8,1.6,1.3,0.1,3.3,0.7,0.4,1.0,1.0,0.0,0.7,0.4,0.5,1.3,0.0,0.4,1.2,0.0,0.4,41.2,77.9,0.3,2.0,0.0
