,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
234,Simon Kjaer,1.8,1.4,2.6,0.2,1.8,0.2,0.8,,6.65
235,Matteo Gabbia,0.8,1.0,1.2,0.3,2.1,0.3,0.7,,6.65
236,Nikola Kalinic,0.1,0.1,0.5,,0.1,,,,6.65
237,Federico Fazio,1.2,1.2,0.7,0.7,3.1,0.3,0.4,,6.65
238,Cristián Zapata,1.2,1.2,0.8,0.3,3.7,0.4,0.9,1,6.64
239,Mert Müldür,2,0.9,0.8,0.1,1.4,0.6,,,6.64
240,Milan Badelj,1.3,2.0,0.8,,1.5,1.6,0.1,,6.64
241,Aaron Ramsey,0.8,0.5,0.9,,0.5,0.8,0.1,,6.63
242,Tommaso Augello,0.8,0.9,0.4,0.2,0.9,0.1,,,6.63
243,Vlad Chiriches,1.6,1.2,0.9,0.6,3.1,0.3,0.9,,6.63
244,Marco Mancosu,1.0,0.5,0.7,,0.5,1.1,0.3,,6.63
245,Federico Bonazzoli,0.4,0.3,0.9,,0.1,0.4,,,6.63
246,Sebastian Walukiewicz,1.8,1.0,0.4,0.3,2.8,0.6,1,,6.63
247,Giulio Donati,1.6,1.3,0.9,0.4,1.7,0.7,0.5,1,6.63
248,Iago Falque,0.7,0.1,0.3,,0.3,0.4,,,6.62
249,Davide Calabria,2.1,0.8,0.6,0.2,1.4,1.0,0.2,,6.62
250,Jhon Chancellor,1.2,1.3,0.8,0.5,5.4,0.4,1.1,1,6.62
251,Marco Sportiello,,,,,0.5,,,,6.62
252,Marlon Santos,1.7,1.5,1,0.8,2.7,0.4,0.5,,6.61
253,Emiliano Rigoni,0.6,0.4,0.5,,,0.9,0.1,,6.61
254,Gonzalo Maroni,0.6,0.6,0.6,,,0.8,,,6.61
255,Ricardo Rodríguez,1.2,1,0.6,0.8,2.8,0.8,0.4,,6.61
256,Milan Skriniar,1.2,0.9,1.6,0.1,2.6,0.6,0.3,1,6.61
257,Christian Eriksen,0.6,,0.4,,,0.9,,,6.6
258,Antonin Barak,1.2,0.6,0.8,0.1,1.1,1.1,0.1,,6.6
259,Sebastien De Maio,0.9,1.5,0.5,0.3,3.9,0.2,1,,6.6
260,Thiago Cionek ,1.9,1.6,1.9,0.2,2.9,1.1,0.4,,6.59
261,Andrea Poli,1.6,1.4,1,0.1,0.3,1.3,0.1,,6.59
262,Alex Ferrari,1.5,1,1.3,0.8,2.5,0.4,0.7,,6.59
263,Julian Chabot,1.4,2,1.3,0.5,3.1,0.8,0.3,,6.59
264,Pol Lirola,1,0.7,0.5,0.1,1.3,0.5,0.1,,6.59
265,Kevin Lasagna,0.8,0.3,1.3,,0.5,0.7,,,6.59
266,Hamed Traore,1,0.4,0.9,,0.2,0.8,,,6.59
267,Pau López,,,,,0.4,0.1,,,6.59
268,Pedro Obiang,1.8,0.8,1.4,,1.2,0.8,0.4,1,6.59
269,Gastón Brugman ,2,1.2,1.2,0.1,0.8,1.2,0.7,,6.59
270,David Ospina,,,0.1,,0.4,,,,6.59
271,Wilfried Stephane Singo,0.3,0.3,0.5,,0.5,,,,6.59
272,Gianluca Caprari ,0.1,0.3,0.5,,,0.4,0.2,,6.58
273,Samir,1.7,1.6,1,0.2,2.9,0.5,0.3,,6.58
274,Andrea Conti,1.8,1.9,1.6,0.3,1.6,1.2,0.3,,6.58
275,Matteo Darmian ,2.5,0.8,1.2,0.1,2,1.3,0.5,,6.58
276,Alessandro Florenzi,1,1.1,0.8,0.4,1.3,0.9,0.2,,6.58
277,Emil Audero,,,,,1,0.1,,1,6.57
278,Martín Cáceres,1.7,1.1,0.9,0.4,2.3,0.7,0.5,,6.57
279,Kevin Bonifazi ,1.1,2.3,0.8,0.7,3,0.6,0.8,,6.57
280,Stanislav Lobotka,0.8,0.6,0.5,,0.1,0.5,0.1,,6.57
281,Javier Pastore,1.3,0.5,0.9,,0.5,0.6,,,6.57
282,Manuel Lazzari,0.6,0.3,0.7,0.2,0.8,0.7,,,6.57
283,Bruno Alves ,0.5,0.8,0.7,0.5,4.5,0.2,0.6,,6.57
284,Walace,1.4,1.7,1.2,,0.9,1.5,0.3,,6.56
285,Andrea Pinamonti,0.6,0.3,1.2,,0.8,0.6,0.1,,6.56
286,Gary Medel,1.9,1.5,1.7,0.1,1.3,1.2,0.3,,6.56
287,Mirko Valdifiori ,1.4,0.2,0.7,,1.0,0.8,0.1,,6.56
288,Charalampos Lykogiannis,0.7,1.2,1.1,0.4,3.0,0.6,0.5,,6.56
289,Andrea Masiello,1.7,1.7,0.7,0.3,3.5,1.1,0.1,,6.56
290,Danilo,1.1,1,1.4,0.2,3.1,0.4,1.3,,6.56
291,Marco Parolo,1.9,0.9,1.5,,1.6,1.0,0.5,,6.56
292,Jens Stryger Larsen,0.8,0.6,0.3,0.1,1.4,0.4,0.2,,6.56
293,Rachid Ghezzal,1.4,0.6,1.2,,0.5,1.2,,,6.56
294,Patric,1.6,0.7,0.6,0.2,1.8,0.3,0.4,,6.56
295,Pierluigi Gollini,,,,,0.6,0.1,,,6.56
296,Borja Valero,0.9,0.4,0.6,,0.4,0.9,0.2,,6.55
297,Mateo Musacchio,0.8,1.2,1.1,0.7,2.7,0.7,0.4,,6.55
298,Kastriot Dermaku ,0.8,0.8,1.1,0.4,3.8,0.1,1,,6.55
299,Jacopo Petriccione,1.2,0.9,0.9,,0.6,1.4,0.2,,6.55
300,Luca Pellegrini,1.3,0.9,1.3,0.3,1.6,0.9,0.1,,6.55
301,Andrea Tabanelli,1.7,0.8,1.8,0.1,1.4,1.5,0.2,,6.55
302,Blerim Dzemaili,1.4,0.5,0.8,,0.4,1.3,0.2,,6.55
303,Bartosz Bereszynski,1.9,1.3,1.2,0.4,2.5,0.9,0.6,1,6.54
304,Alan Empereur,1.2,1.7,1.4,0.1,2.8,0.3,0.9,,6.54
305,Fabio Depaoli,1.4,0.6,2,0.1,0.9,0.5,0.1,,6.54
306,Andrea Cistana,1,1.6,1.1,0.4,4.5,0.5,1.6,,6.54
307,Ionut Radu,,0.1,,,0.5,0.1,,,6.54
308,Gian Marco Ferrari,0.4,1.1,0.8,0.5,1.7,0.2,1,,6.54
309,Simone Iacoponi ,1.4,1.0,1,0.3,3.7,0.4,0.8,,6.53
310,Alessandro Deiola,1.6,0.8,0.7,,1.3,1.5,0.4,,6.53
311,Lucas Paquetá,1.4,0.3,1.0,,0.3,1.0,0.1,,6.53
312,Jeremy Toljan,1.3,0.6,0.9,0.1,1.6,0.6,0.4,,6.53
313,Valentino Lazaro,1.0,0.2,1.2,,1.2,0.7,,,6.53
314,Blaise Matuidi,1.4,0.6,1.1,,0.3,0.6,0.2,,6.53
315,William Troost-Ekong,1.2,1,0.6,0.2,4.3,0.3,1,,6.53
316,Bryan Cristante,1.0,0.8,1.2,,0.8,0.7,0.2,,6.53
317,Igor Julio ,1.4,1.4,1.2,0.5,2.1,0.4,0.5,,6.53
318,Cristian Dell'Orco,1.6,1.1,1.1,0.4,2.1,0.4,0.5,,6.53
319,Alberto Cerri ,0.3,,1.0,,0.4,0.3,,,6.52
320,Jakub Jankto,0.9,0.7,0.8,,0.6,1.1,0.1,,6.52
321,Panagiotis Tachtsidis,1.9,1.3,1.5,,1.1,1.3,0.4,,6.52
322,Federico Bernardeschi,0.4,0.4,1.1,,0.3,0.7,,,6.52
323,Hirving Lozano,0.2,0.2,0.8,,0.1,0.5,,,6.52
324,Samuel Di Carmine,0.1,,1.5,,0.4,0.4,,,6.52
325,Marco Calderoni,1.5,1.4,1.1,0.2,1.5,0.7,0.4,,6.52
326,Christian Oliva,1.2,0.6,0.4,,1.2,0.9,,,6.51
327,Marco D'Alessandro ,0.7,0.3,0.2,,0.3,0.2,,,6.51
328,Antonino Barillà ,1.7,0.7,1.5,,1.0,1.1,0.3,,6.51
329,Mato Jajalo,1.7,0.7,1.1,,0.7,0.9,0.3,,6.51
330,Filippo gna,0.4,0.6,0.3,0.6,3.7,0.1,0.9,,6.5
331,Vincent Laurini ,1.7,0.7,0.9,0.1,1.7,0.3,0.2,,6.5
332,Krzysztof Piatek,0.5,0.2,1.3,,0.6,0.4,0.1,,6.5
333,Lyanco,1.4,1.4,0.8,0.6,2.9,0.4,1.1,1,6.49
334,Faouzi Ghoulam,0.7,0.4,0.7,,0.7,0.3,0.2,,6.49
335,Mattia Perin,,,,,0.6,,,,6.49
336,Valerio Verre,0.8,0.4,1,,0.3,0.4,,,6.49
337,Ivan Radovanovic,1.4,0.4,0.8,,2.1,0.8,0.2,,6.49
338,Francesco Magnanelli,1.1,0.9,0.9,0.1,0.8,1.1,0.3,,6.49
339,Alessandro Tripaldelli,2,1.5,1,0.5,1.0,1,,,6.49
340,Lorenzo Venuti,1.3,0.7,1.1,0.2,0.9,0.4,0.1,,6.48
341,Patrick Cutrone,0.2,0.1,0.4,,0.3,0.7,0.1,,6.48
342,Jerdy Schouten,1.4,1.4,1.3,0.1,1.2,0.8,0.4,,6.48
343,Marko Pajac,0.7,0.7,0.7,0.1,0.6,0.8,,,6.48
344,Andrea La Mantia,0.1,0.6,1.4,,0.9,0.3,,,6.48
