,Player,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
70,Yunis Abdelhamid,1.8,1.8,1.1,3.7,0.5,0.0,3.0,0.0,0.5,0.1,0.2,0.7,0.0,0.4,0.4,0.0,0.1,53.2,85.7,0.0,2.4,0.0
71,Hatem Ben Arfa,0.5,0.1,0.8,0.0,0.0,0.0,2.0,4.0,1.4,1.3,3.2,1.5,0.2,2.4,2.4,4.0,1.3,33.1,85.6,0.9,1.6,0.2
72,Habib Maïga,2.6,1.6,2.1,1.0,0.2,0.0,1.0,3.0,0.8,0.8,1.1,1.2,0.1,1.1,1.5,3.0,0.8,44.7,82.7,0.1,2.4,0.0
73,Hamari Traoré,1.6,2.2,1.1,1.1,0.1,0.0,1.0,1.0,0.7,1.0,0.7,0.7,0.1,0.3,0.8,1.0,1.0,56.5,86.0,0.7,2.3,0.0
74,Alexander Djiku,2.0,3.0,1.7,3.3,0.3,0.0,0.0,0.0,0.5,0.1,0.2,1.2,0.1,0.2,0.3,0.0,0.1,44.6,84.5,0.0,3.8,0.0
75,Jonathan Clauss,1.3,1.4,0.7,1.1,0.0,0.0,3.0,6.0,1.0,1.5,0.7,0.4,0.1,0.4,1.6,6.0,1.5,28.8,77.2,1.4,1.3,0.0
76,Gelson Martins,1.8,0.6,1.0,0.1,0.0,0.0,3.0,2.0,1.1,0.8,1.7,1.6,0.2,1.3,2.5,2.0,0.8,25.8,85.3,0.3,0.4,0.0
77,Martin Terrier,1.0,0.5,1.0,0.2,0.0,0.0,9.0,7.0,1.4,1.2,0.8,1.1,0.3,0.7,2.3,7.0,1.2,22.9,80.1,0.1,0.6,0.0
78,Armand Laurienté,1.0,0.5,0.8,0.1,0.0,0.0,3.0,5.0,2.0,1.3,1.9,1.3,0.3,1.2,2.2,5.0,1.3,16.4,83.8,0.9,0.4,0.0
79,Cheick Oumar Doucouré,2.6,1.6,1.4,0.8,0.1,0.0,2.0,1.0,1.1,0.8,1.2,0.5,0.0,0.7,0.9,1.0,0.8,43.8,86.6,0.0,2.8,0.0
80,Yoane Wissa,0.9,0.5,0.8,0.3,0.1,0.0,10.0,4.0,1.5,0.8,1.4,2.2,0.3,0.8,1.9,4.0,0.8,18.8,76.4,0.1,0.4,0.1
81,Maxwel Cornet,1.9,1.2,0.8,1.2,0.1,0.0,2.0,5.0,0.6,0.7,0.6,0.9,0.1,0.4,1.0,5.0,0.7,38.7,80.8,0.4,1.6,0.0
82,Luiz Araújo,1.4,0.4,0.9,0.1,0.0,0.0,4.0,2.0,1.8,0.8,1.8,0.6,0.0,1.0,1.3,2.0,0.8,20.3,78.0,0.1,1.2,0.0
83,Benjamin Bourigeaud,1.1,0.5,0.7,0.6,0.0,0.0,6.0,5.0,1.7,1.6,0.2,0.3,0.1,0.4,0.8,5.0,1.6,44.9,82.1,1.8,3.1,0.0
84,Jordan Amavi,0.8,2.1,1.0,2.0,0.2,0.0,1.0,0.0,0.3,0.4,0.9,1.1,0.0,0.7,1.0,0.0,0.4,27.5,76.5,0.2,1.6,0.0
85,Idrissa Gueye,2.3,0.7,1.3,0.3,0.3,0.0,2.0,1.0,0.7,0.5,0.9,0.7,0.0,0.7,1.0,1.0,0.5,60.1,92.6,0.1,1.6,0.0
86,Florian Sotoca,0.9,0.3,1.5,0.7,0.0,0.0,8.0,3.0,2.2,0.8,0.6,1.4,0.3,1.1,1.8,3.0,0.8,26.5,73.6,0.2,1.4,0.0
87,Franck Honorat,0.8,0.3,1.0,0.5,0.1,0.0,8.0,5.0,1.1,1.8,0.7,0.4,0.1,0.8,1.1,5.0,1.8,23.1,72.1,1.7,0.8,0.1
88,Ruben Aguilar,1.9,1.4,1.2,1.2,0.1,0.0,1.0,3.0,0.2,1.2,0.4,1.1,0.0,0.4,1.2,3.0,1.2,38.7,85.4,1.0,1.3,0.0
89,Romain Perraud,1.7,1.3,1.3,1.8,0.1,0.0,3.0,7.0,1.3,1.0,0.9,1.5,0.1,0.5,0.9,7.0,1.0,43.0,79.9,1.1,2.3,0.0
90,Gaël Kakuta,1.1,0.5,0.9,0.1,0.1,0.0,11.0,5.0,1.5,1.4,1.5,1.1,0.1,1.5,2.2,5.0,1.4,29.4,76.5,0.8,1.0,0.1
91,Hassane Kamara,1.8,1.5,0.6,1.3,0.3,0.0,2.0,1.0,0.8,0.8,1.0,0.9,0.0,0.6,1.3,1.0,0.8,44.2,84.7,0.6,1.9,0.0
92,Mauro Icardi,0.3,0.2,0.5,0.4,0.1,0.0,7.0,3.0,2.0,0.8,0.2,0.6,0.3,0.4,0.7,3.0,0.8,8.9,79.2,0.0,0.2,0.0
93,Houssem Aouar,0.6,0.6,0.7,0.1,0.0,0.0,7.0,3.0,2.3,1.3,1.5,0.8,0.1,1.2,1.8,3.0,1.3,32.0,86.0,0.0,1.0,0.0
94,Alessandro Florenzi,1.1,0.8,0.5,1.0,0.0,0.0,2.0,1.0,1.0,0.9,0.2,0.3,0.1,0.1,0.4,1.0,0.9,39.7,83.7,1.2,1.5,0.0
95,Mitchel Bakker,1.5,0.8,0.6,0.5,0.1,0.0,0.0,2.0,0.1,0.6,0.6,0.3,0.1,0.4,0.7,2.0,0.6,45.0,90.4,0.4,0.6,0.0
96,Jonathan David,0.5,0.1,0.9,0.2,0.0,0.0,13.0,2.0,1.5,0.9,0.6,1.2,0.1,1.3,2.3,2.0,0.9,15.2,77.4,0.1,0.1,0.0
97,Damien Da Silva,0.7,1.5,1.0,3.3,0.4,1.0,4.0,0.0,0.8,0.2,0.3,0.7,0.0,0.1,0.2,0.0,0.2,67.5,88.0,0.0,4.7,0.0
