,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
54,Remo Freuler,2.4,1.1,1.2,0.1,1.1,1.2,0.3,0.0,2.0,6.0,0.9,1.3,0.7,2.1,0.0,1.1,1.5,6.0,1.3,62.9,88.2,0.1,2.1,0.1
55,Senad Lulic,2.1,1.4,1.2,0.0,1.4,1.3,0.1,0.0,4.0,1.0,0.8,1.5,1.2,0.8,0.2,0.9,1.6,1.0,1.5,37.6,78.1,1.1,2.1,0.0
56,Jasmin Kurtic ,1.2,0.7,1.2,0.0,1.7,0.9,0.1,0.0,6.0,5.0,2.1,1.2,0.8,1.8,0.0,0.7,1.0,5.0,1.2,40.7,86.1,1.2,2.0,0.0
57,Juraj Kucka ,2.8,0.9,2.3,0.0,2.0,1.9,0.4,0.0,4.0,3.0,1.4,0.9,0.8,1.5,0.1,1.6,1.3,3.0,0.9,30.8,69.5,0.3,1.1,0.0
58,Marten de Roon,2.9,1.5,1.8,0.1,1.3,1.7,0.3,0.0,2.0,3.0,0.8,0.9,0.2,0.4,0.0,0.3,0.6,3.0,0.9,62.5,87.5,0.2,3.5,0.0
59,Antonio Mirante,0.0,0.0,0.1,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,25.2,64.3,0.0,7.7,0.0
60,Lorenzo Pellegrini,1.6,0.5,1.3,0.0,0.8,0.8,0.1,0.0,2.0,3.0,1.8,2.4,1.0,1.3,0.2,1.3,2.0,3.0,2.4,33.9,80.0,1.6,1.4,0.1
61,Dennis Praet,1.9,1.1,0.7,0.0,0.8,0.7,0.1,0.0,2.0,3.0,1.0,1.1,1.1,1.2,0.0,1.5,1.2,3.0,1.1,51.1,87.3,0.8,1.3,0.1
62,Albin Ekdal,1.9,1.7,1.4,0.0,1.9,1.0,0.4,0.0,0.0,0.0,0.5,0.6,1.1,2.1,0.0,1.0,0.9,0.0,0.6,51.5,86.5,0.1,1.7,0.0
63,Piotr Zielinski,1.1,0.6,0.8,0.0,0.4,0.6,0.1,0.0,6.0,2.0,2.2,1.6,1.0,0.8,0.1,1.1,1.4,2.0,1.6,54.8,90.0,0.1,2.4,0.1
64,Dalbert,3.0,0.7,0.8,0.0,1.2,0.8,0.3,0.0,0.0,1.0,0.5,0.9,0.3,1.5,0.0,0.6,0.7,1.0,0.9,37.5,79.9,1.0,1.9,0.0
65,Krzysztof Piatek,0.4,0.1,1.6,0.0,0.8,0.4,0.1,0.0,9.0,0.0,2.3,0.8,0.4,1.2,0.7,1.3,2.6,0.0,0.8,13.6,77.0,0.1,0.3,0.0
66,Domenico Berardi,1.1,0.7,1.9,0.0,0.7,1.7,0.1,0.0,8.0,4.0,3.6,1.7,1.3,2.6,0.3,1.4,2.2,4.0,1.7,34.0,77.0,0.7,1.0,0.1
67,Federico Chiesa,1.2,0.3,1.5,0.0,0.1,0.8,0.0,0.0,6.0,3.0,3.6,1.5,2.1,1.6,0.3,1.8,2.9,3.0,1.5,22.5,72.1,0.4,0.7,0.1
68,Giorgio Chiellini,1.0,1.2,0.6,0.2,3.7,0.1,0.6,0.0,1.0,1.0,0.5,0.3,0.2,0.8,0.0,0.4,0.4,1.0,0.3,53.4,84.9,0.2,4.4,0.0
69,Emre Can,2.2,1.0,1.5,0.0,1.0,0.6,0.4,1.0,4.0,1.0,1.1,0.7,0.9,0.8,0.1,0.4,0.9,1.0,0.7,34.7,87.1,0.2,2.0,0.1
70,Salvatore Sirigu,0.0,0.1,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,27.9,60.5,0.0,9.5,0.0
71,Diego Farias,0.7,0.0,0.8,0.0,0.2,0.4,0.1,0.0,4.0,4.0,2.3,1.3,0.8,1.0,0.2,1.2,1.8,4.0,1.3,19.3,81.2,0.4,0.4,0.1
72,Tomás Rincón,2.2,1.2,2.0,0.0,1.9,1.1,0.1,0.0,3.0,1.0,1.0,0.8,0.8,1.2,0.0,1.0,1.1,1.0,0.8,39.5,78.9,0.2,3.4,0.0
73,Ismaël Bennacer,2.6,1.5,1.2,0.0,0.8,1.2,0.2,0.0,0.0,5.0,0.5,0.9,1.8,1.6,0.0,1.2,1.5,5.0,0.9,51.4,86.4,0.4,3.9,0.1
74,Iván Marcano,0.8,2.4,1.0,0.6,4.1,0.3,0.6,0.0,0.0,0.0,0.3,0.6,0.3,0.4,0.0,0.2,0.0,0.0,0.6,52.1,87.1,0.3,3.9,0.0
75,Jordan Veretout,1.9,1.4,1.5,0.1,1.5,0.9,0.2,0.0,5.0,3.0,1.2,2.3,0.6,1.2,0.0,0.8,0.9,3.0,2.3,55.0,81.8,1.1,3.9,0.1
76,Ciro Immobile,0.3,0.0,0.7,0.0,0.2,0.1,0.0,0.0,15.0,6.0,3.4,1.5,0.9,1.1,1.1,1.0,2.3,6.0,1.5,25.3,77.4,0.1,0.6,0.1
77,Roberto Gagliardini,1.2,0.8,1.5,0.0,0.9,0.9,0.2,0.0,5.0,0.0,1.3,0.7,0.3,1.0,0.1,0.5,1.2,0.0,0.7,41.8,87.4,0.1,1.2,0.1
78,Franck Kessié,1.2,0.8,1.4,0.1,1.5,0.6,0.3,0.0,7.0,2.0,1.5,1.3,1.3,0.9,0.1,1.2,2.1,2.0,1.3,49.7,87.0,0.1,1.6,0.0
79,Pietro Terracciano,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,24.0,58.3,0.0,3.5,0.0
80,Francesco Acerbi,1.1,1.6,0.6,0.6,4.4,0.1,0.9,0.0,3.0,1.0,0.5,0.3,0.2,1.1,0.1,0.2,0.5,1.0,0.3,48.0,87.0,0.0,3.7,0.0
81,Timothy Castagne,2.2,1.0,0.7,0.1,1.6,0.9,0.2,0.0,4.0,2.0,0.7,1.0,0.7,0.5,0.0,1.0,1.2,2.0,1.0,36.3,83.7,0.4,0.9,0.0
82,Nikola Milenkovic,1.7,1.4,1.8,0.3,4.0,0.5,0.6,0.0,3.0,0.0,0.9,0.1,0.3,0.6,0.1,0.2,0.6,0.0,0.1,48.5,79.9,0.1,3.6,0.0
