,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
395,Milot Rashica,24,Forward,Werder Bremen,2278,1127,1151,Kosovo,28,14,14,8,2,6,5,2,3,2,1,4,1,3,51,26,25,2,0,0.51,0.2,0.32,0.16,0.47,285,2.01,45,81,1139,456,0.08,61,66,-1,2,0.8,0.2,1,0.4,0.9,0.1,0,8,5,2.6,1.4,2,1.7,0.3,1.9,3.1,5,1.4,19.9,75.9,1,1.1,0
396,Mitchell Weiser,27,Midfielder,Bayer Leverkusen,1171,633,538,Germany,18,10,8,1,0,1,0,0,0,0,0,6,4,2,14,8,6,3,0,0.08,0,0.08,0,0.17,1171,1.08,84,65,390,0,0.23,175,285,-1,11,2.3,1.3,1,1.1,0.7,0.1,0,1,0,0.4,0.3,1,1.4,0,0.7,1.6,0,0.3,47.6,78.9,0.3,1.3,0
397,Mohamed Dräger,24,Midfielder,Paderborn,1457,806,651,Tunisia,18,10,8,1,0,1,3,2,1,0,0,2,1,1,41,25,16,2,0,0.25,0.19,0.06,0,0.14,1457,2.53,36,81,729,486,0.12,203,78,-1,10,1.8,1,0.9,1.8,1.1,0.3,0,1,3,0.8,0.8,0.8,1.2,0,1.1,1.4,3,0.8,34.2,77.6,0.3,2.2,0
398,Moritz Nicolas,23,Goalkeeper,Union Berlin,90,0,90,Germany,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,4,23,90,0,0,0,-1,-1,-1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,34,70.6,0,12,0
399,Moussa Diaby,21,Forward,Bayer Leverkusen,1767,829,938,France,28,12,16,5,3,2,5,1,4,0,0,7,4,3,28,15,13,3,0,0.51,0.25,0.25,0.33,0.19,353,1.43,63,63,589,353,0.15,86,46,-1,4,0.4,0.3,0.5,0.1,0.4,0,0,5,5,1.5,1.3,2.4,0.7,0.3,1.3,2.7,5,1.3,21.1,79.2,0.7,0.5,0
400,Moussa Niakhate,25,Defender,Mainz 05,2970,1530,1440,France,33,17,16,1,0,1,2,1,1,0,0,5,2,3,56,28,28,7,0,0.09,0.06,0.03,0,0.06,2970,1.7,53,90,424,1485,0.21,229,217,95,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,Munas Dabbur,29,Forward,Hoffenheim,773,298,475,Israel,14,6,8,4,1,3,0,0,0,0,0,4,1,3,8,4,4,4,0,0.47,0,0.47,0.3,0.57,193,0.93,97,55,193,0,0.47,29,270,-1,5,0.6,0.3,1.6,0.1,0.5,0.1,0,4,0,1.7,0.6,0.7,1.6,0.3,1.2,1.3,0,0.6,17.6,71.5,0.1,0.7,0.1
402,Münir Mercan,20,Midfielder,Schalke 04,68,68,0,Germany,5,4,1,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,2.65,34,14,0,0,0,-1,-1,-1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,Nadiem Amiri,24,Midfielder,Bayer Leverkusen,1861,875,986,Germany,30,15,15,1,1,0,2,1,1,0,0,9,5,4,25,16,9,3,0,0.15,0.1,0.05,0.1,0,1861,1.21,74,62,620,931,0.15,212,155,-1,12,0.9,0.5,0.9,0.2,0.6,0.1,0,1,2,1.4,1.8,1,1.3,0.1,0.6,1.4,2,1.8,32.9,84.4,0.9,1.5,0.1
404,Nana Opoku Ampomah,25,Midfielder,Fortuna Düsseldorf,498,344,154,Ghana,12,7,5,0,0,0,0,0,0,0,0,0,0,0,16,10,6,1,0,0,0,0,0,0,0,2.89,31,42,498,0,0.18,269,295,-1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
