,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
167,Diego da Silva Farias,30,Forward,Lecce,832,338,494,Brazil,18,9,9,2,1,1,0,0,0,0,0,2,0,2,20,10,10,3,1,0.22,0,0.22,0.27,0.18,416,2.16,42,46,208,0,0.43,96,299,-1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Diego Demme,29,Midfielder,Napoli,904,318,586,Germany,15,7,8,1,0,1,0,0,0,0,0,2,0,2,14,6,8,6,0,0.1,0,0.1,0,0.15,904,1.39,65,60,151,0,0.6,180,281,-1,16,1.2,0.5,1.7,0.6,0.1,0,1,0,0.3,0.6,0.2,0.7,0,0.5,0.5,0,0.6,51.7,92.4,0,2.3,0
169,Diego Godín,35,Defender,Inter Milan,1629,849,780,Uruguay,23,12,11,1,1,0,1,1,0,0,0,9,5,4,14,8,6,5,0,0.11,0.06,0.06,0.11,0,1629,0.77,116,71,326,1629,0.28,217,215,10,17,1.7,2,1.3,2.5,0.3,0,1,1,0.5,0.4,0.7,0.7,0.1,0.5,0.4,1,0.4,47.8,85.1,0.2,3.3,0.1
170,Diego Laxalt,28,Midfielder,Torino,755,364,391,Uruguay,20,9,11,0,0,0,1,0,1,0,0,5,2,3,14,7,7,4,0,0.12,0.12,0,0,0,0,1.67,54,38,189,755,0.48,335,135,-1,20,1.2,0.4,0.8,1.1,0.3,0,0,1,0.3,0.4,0.3,0.5,0,0.3,0.7,1,0.4,15.2,73.7,0.1,0.6,0
171,Diego Laxalt,28,Midfielder,Torino,755,364,391,Uruguay,20,9,11,0,0,0,1,0,1,0,0,5,2,3,14,7,7,4,0,0.12,0.12,0,0,0,0,1.67,54,38,189,755,0.48,335,135,-1,20,0.8,0,1,0.5,0,0,0,0,0.3,0.3,0,0.3,0,0.3,0.3,0,0.3,23.3,82.8,0.8,0.8,0
172,Diego Perotti,32,Forward,Roma,873,447,426,Argentina,21,11,10,5,2,3,3,0,3,4,0,5,1,4,15,9,6,4,1,0.82,0.31,0.52,0.4,0.63,175,1.55,58,42,175,291,0.52,21,20,-1,7,0.8,0.2,0.4,0.2,0,0,5,3,0.7,1,1.4,1.1,0,0.7,0.3,3,1,16.6,85.7,0.3,0.7,0.1
173,Dimitri Bisoli,27,Midfielder,Brescia,2154,1014,1140,Italy,25,12,13,1,1,0,1,1,0,0,0,5,2,3,39,18,21,6,0,0.08,0.04,0.04,0.09,0,2154,1.63,55,86,359,2154,0.25,244,245,-1,11,2.6,1,1.5,1.6,0.3,0,1,1,1,0.8,0.8,1.8,0.2,1.4,1.6,1,0.8,27.7,67.3,0.5,0.6,0
174,Dion Ruffo Luci,19,Midfielder,Bologna,0,0,0,Italy,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
175,Djavan Anderson,26,Defender,Lazio,165,23,142,Netherlands,6,2,4,0,0,0,0,0,0,0,0,1,0,1,3,0,3,1,0,0,0,0,0,0,0,1.64,55,28,165,0,0.55,-1,-1,-1,15,0,0.5,0.7,0.3,0,0,0,0,0.2,0,0.5,0.2,0,0.8,0.8,0,0,8,87.5,0.2,0.2,0
176,Domenico Berardi,26,Forward,Sassuolo,2504,1408,1096,Italy,31,17,14,14,9,5,10,8,2,2,1,7,3,4,43,28,15,7,1,0.86,0.36,0.5,0.58,0.41,179,1.55,58,81,313,250,0.29,26,11,-1,2,1,1.1,1.8,0.8,0.1,0,14,10,3.9,1.9,1.3,2.1,0.2,1,2.1,10,1.9,35.1,78.4,0.6,1.5,0.3
