,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
416,Marko Dmitrović,29,Goalkeeper,SD Eibar,3150,1530,1620,Serbia,35,17,18,0,0,0,0,0,0,0,0,10,5,5,49,23,26,3,0,0,0,0,0,0,0,1.4,64,90,1050,0,0.09,268,358,134,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,Martín Aguirregabiria Padilla,24,Defender,Deportivo Alavés,2097,1071,1026,Spain,31,16,15,1,1,0,1,0,1,0,0,8,6,2,37,13,24,6,1,0.09,0.04,0.04,0.08,0,2097,1.59,57,68,300,2097,0.3,237,224,164,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,Martin Braithwaite,29,Forward,FC Barcelona,2338,1192,1146,Denmark,35,18,17,7,3,4,2,1,1,0,1,11,7,4,32,14,18,4,0,0.35,0.08,0.27,0.23,0.31,334,1.23,73,67,585,1169,0.15,56,172,-1,6,0.5,0.2,1.3,0.3,0.1,0,6,2,1.8,0.6,1.5,1.3,0.4,1.1,2,2,0.6,15,68.1,0,0.3,0
419,Martin Braithwaite,29,Forward,FC Barcelona,2338,1192,1146,Denmark,35,18,17,7,3,4,2,1,1,0,1,11,7,4,32,14,18,4,0,0.35,0.08,0.27,0.23,0.31,334,1.23,73,67,585,1169,0.15,56,172,-1,6,0.2,0.1,0.7,0.1,0,0,1,0,1.2,0.2,0.6,0.6,0.1,0.3,0.6,0,0.2,11.5,77.8,0,0,0
420,Martin Valijent,25,Defender,RCD Mallorca,3184,1710,1474,Slovakia,36,19,17,0,0,0,0,0,0,0,0,5,5,0,56,21,35,6,0,0,0,0,0,0,0,1.58,57,88,531,0,0.17,332,319,163,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,Martín Zubimendi Ibañez,22,Midfielder,Real Sociedad,571,325,246,Spain,9,5,4,0,0,0,0,0,0,0,0,1,1,0,8,4,4,3,0,0,0,0,0,0,0,1.26,71,63,190,0,0.47,304,275,-1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,Martin Ødegaard,22,Midfielder,Real Sociedad,2533,1262,1271,Norway,31,15,16,4,2,2,6,2,4,0,0,8,5,3,33,14,19,3,0,0.36,0.21,0.14,0.14,0.14,633,1.17,77,82,844,422,0.11,130,40,-1,6,0.9,0.5,0.8,0.1,0,0,4,6,1.6,2,2,1.2,0,1.2,1.7,6,2,48.2,84.7,1.1,1.8,0.2
423,Matheus Fernandes Siqueira,22,Midfielder,Real Valladolid,166,1,165,Brazil,3,1,2,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,1.08,83,55,0,0,0,-1,-1,-1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,Mathías Olivera Miramontes,23,Defender,Getafe CF,1900,756,1144,Uruguay,24,9,15,0,0,0,1,0,1,0,0,11,4,7,18,8,10,7,1,0.05,0.05,0,0,0,0,0.85,106,79,271,1900,0.33,333,211,30,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,Matías Ezequiel Vargas Martin,23,Midfielder,RCD Espanyol,1020,570,450,Argentina,21,13,8,0,0,0,3,1,2,0,0,5,3,2,17,13,4,1,0,0.26,0.26,0,0,0,0,1.5,60,49,1020,340,0.09,389,23,-1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
