,Player,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
2616,Tristan Dingome,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,80.0,0.0,0.0,0.0
2617,Trézéguet,1.6,0.9,1.9,0.6,0.0,0.0,2.0,1.0,1.7,0.6,0.8,0.9,0.2,0.6,1.3,1.0,0.6,13.7,75.7,0.2,0.6,0.0
2618,Tuta,1.8,1.5,1.6,2.5,0.1,1.0,0.0,0.0,0.2,0.2,0.4,0.7,0.0,0.5,0.7,0.0,0.2,51.1,84.7,0.1,2.2,0.0
2619,Tyler Adams,1.3,1.1,1.1,1.0,0.2,0.0,1.0,1.0,0.3,0.5,0.6,1.1,0.1,0.5,1.4,1.0,0.5,47.3,86.1,0.1,1.2,0.0
2620,Tyler Roberts,0.6,0.3,0.9,0.4,0.1,0.0,1.0,2.0,1.0,0.6,0.6,1.2,0.3,0.6,1.2,2.0,0.6,17.1,71.6,0.1,0.5,0.1
2621,Tyrese Francois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,92.3,0.0,0.0,0.0
2622,Tyrick Mitchell,3.4,1.1,0.4,2.4,0.5,0.0,1.0,1.0,0.1,0.2,0.6,0.6,0.0,0.6,0.8,1.0,0.2,31.5,69.8,0.3,1.5,0.0
2623,Tyrone Mings,0.9,1.1,0.6,4.7,1.1,1.0,2.0,2.0,0.5,0.2,0.2,0.5,0.1,0.1,0.5,2.0,0.2,46.6,77.9,0.0,3.7,0.0
2624,Tyrone Tormin,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,3.0,88.9,0.0,0.0,0.0
2625,Téji Savanier,1.8,1.4,2.1,0.6,0.2,0.0,5.0,5.0,2.1,2.3,1.9,2.4,0.0,1.6,1.8,5.0,2.3,40.0,74.4,2.0,4.7,0.0
2626,Tòfol Montiel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.5,66.7,0.0,0.5,0.0
2627,Umut Bozok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,0.0,0.4,0.6,0.0,0.0,5.4,63.0,0.0,0.0,0.0
2628,Unai Arietaleanizbeaskoa,0.3,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.3,0.0,0.8,0.0,0.0,1.8,57.1,0.0,0.0,0.0
2629,Unai Dufur,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.0,63.6,0.0,1.0,0.0
2630,Unai García,1.1,0.8,0.8,2.2,0.5,1.0,0.0,0.0,0.3,0.2,0.3,0.2,0.0,0.0,0.4,0.0,0.2,25.2,76.6,0.0,3.2,0.0
2631,Unai López,1.0,0.7,0.8,0.3,0.2,1.0,3.0,0.0,1.0,0.7,0.6,0.8,0.0,0.5,0.7,0.0,0.7,37.7,85.7,0.3,3.9,0.0
2632,Unai Núñez,0.9,1.3,0.9,4.2,0.6,0.0,1.0,1.0,0.5,0.2,0.2,0.4,0.0,0.3,0.3,1.0,0.2,47.4,83.0,0.0,5.0,0.0
2633,Unai Simón,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,23.2,63.4,0.0,6.5,0.0
2634,Unai Vencedor,1.1,0.6,1.1,0.5,0.2,0.0,0.0,0.0,0.3,0.3,0.3,0.8,0.0,0.4,0.6,0.0,0.3,32.6,79.8,0.0,3.2,0.0
2635,Urko González de Zárate,0.0,0.0,2.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,15.5,90.3,0.0,0.5,0.0
