,players,age,league,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall
1391,Jayden Bogle,21,Premier League,Defender,Sheffield United,1109,540,569,England,16,6,10,2,1,1,0,0,0,0,0,2,2,0,19,8,11,2,0,0.16,0.0,0.16,0.17,0.16,555,1.54,58,69,555,0,0.16
1392,Jayden Jezairo Braaf,18,Serie A,Forward,Udinese,115,25,90,Netherlands,4,2,2,1,0,1,0,0,0,0,0,1,1,0,4,0,4,0,0,0.78,0.0,0.78,0.0,1.0,115,3.13,29,29,0,0,0.0
1393,Jayson Molumby,21,Premier League,Midfielder,Brighton & Hove Albion,0,0,0,Republic of Ireland,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
1394,Jaïro Riedewald,24,Premier League,Defender,Crystal Palace,1816,784,1032,Netherlands,33,17,16,2,0,2,0,0,0,0,0,6,5,1,35,12,23,4,0,0.1,0.0,0.1,0.0,0.17,908,1.73,52,55,454,0,0.2
1395,Jean Eudès Aholou,27,Ligue 1,Midfielder,Strasbourg,2190,983,1207,Côte d'Ivoire,29,14,15,2,2,0,2,1,1,0,0,8,3,5,37,21,16,9,0,0.16,0.08,0.08,0.18,0.0,1095,1.52,59,76,243,1095,0.37
1396,Jean Freddi Pascal Greco,20,Serie A,Midfielder,Torino,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
1397,Jean Lucas de Souza Oliveira,23,Ligue 1,Midfielder,Brest,1176,518,658,Brazil,24,12,12,0,0,0,2,2,0,0,0,4,2,2,18,8,10,5,1,0.15,0.15,0.0,0.0,0.0,0,1.38,65,49,235,588,0.38
1398,Jean Michaël Seri,30,Ligue 1,Midfielder,Bordeaux,710,312,398,Côte d'Ivoire,12,6,6,0,0,0,0,0,0,0,0,2,2,0,17,5,12,3,0,0.0,0.0,0.0,0.0,0.0,0,2.15,42,59,237,0,0.38
1399,Jean-Charles Castelletto,26,Ligue 1,Defender,Nantes,1947,990,957,France,24,12,12,1,0,1,0,0,0,0,0,1,0,1,35,18,17,4,0,0.05,0.0,0.05,0.0,0.09,1947,1.62,56,81,487,0,0.18
1400,Jean-Clair Todibo,21,Ligue 1,Midfielder,Nice,1332,717,615,France,15,8,7,1,1,0,0,0,0,0,0,3,3,0,20,8,12,5,0,0.07,0.0,0.07,0.13,0.0,1332,1.35,67,89,266,0,0.34
1401,Jean-Daniel Akpa Akpro,28,Serie A,Midfielder,Lazio,1037,608,429,Côte d'Ivoire,32,18,14,0,0,0,1,1,0,0,0,12,7,5,13,7,6,9,0,0.09,0.09,0.0,0.0,0.0,0,1.13,80,32,115,1037,0.78
1402,Jean-Kevin Duverne,24,Ligue 1,Defender,Brest,2025,868,1157,France,27,13,14,1,1,0,0,0,0,0,0,5,2,3,42,18,24,4,0,0.04,0.0,0.04,0.1,0.0,2025,1.87,48,75,506,0,0.18
1403,Jean-Kévin Augustin,24,Ligue 1,Forward,Nantes,33,17,16,France,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2.73,33,11,0,0,0.0
1404,Jean-Louis Leca,35,Ligue 1,Goalkeeper,Lens,3315,1695,1620,France,37,19,18,0,0,0,0,0,0,0,0,8,4,4,45,23,22,2,0,0.0,0.0,0.0,0.0,0.0,0,1.22,74,90,1658,0,0.05
1405,Jean-Manuel Mbom,21,Bundesliga,Midfielder,Werder Bremen,1164,623,541,Germany,21,10,11,0,0,0,1,1,0,0,0,2,2,0,17,10,7,7,0,0.08,0.08,0.0,0.0,0.0,0,1.31,68,55,166,1164,0.54
1406,Jean-Paul Boëtius,27,Bundesliga,Forward,Mainz 05,2072,1094,978,Netherlands,31,15,16,2,0,2,4,1,3,0,0,3,1,2,36,16,20,5,0,0.26,0.17,0.09,0.0,0.18,1036,1.56,58,67,414,518,0.22
1407,Jean-Philippe Gbamin,25,Premier League,Midfielder,Everton,11,11,0,Côte d'Ivoire,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,8.18,11,11,0,0,0.0
1408,Jean-Philippe Krasso,24,Ligue 1,Forward,Saint-Étienne,221,111,110,Côte d'Ivoire,6,4,2,0,0,0,0,0,0,0,0,1,1,0,4,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0,1.63,55,37,0,0,0.0
