,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
281,Loris Benito,1.7,1.3,1.6,0.3,2.4,1.2,0.2,1,6.6
282,Jacques-Alaixys Romao,2.1,1.2,2.1,0.0,1.7,1.8,0.1,0.0,6.6
283,Abdoulaye Bamba,1.4,0.6,0.6,0.1,2.1,1,0.1,0.0,6.59
284,Rachid Alioui,0.3,0.1,0.9,0.0,0.3,0.4,0.0,0.0,6.59
285,Mamadou Fofana I,2.9,1.2,1.1,0.1,3.0,1,0.5,0.0,6.59
286,Romain Amalfitano,1.7,1.4,1,0.0,0.5,1.5,0.3,0.0,6.59
287,Mike Maignan,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.0,6.58
288,Anthony Briançon,1.3,1.8,0.5,0.4,3.6,0.8,0.7,0.0,6.58
289,Mexer,0.8,0.8,0.7,0.5,2.4,1.1,0.7,0.0,6.58
290,Matis Carvalho,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.58
291,Ambroise Oyongo,1.2,0.8,0.7,0.1,1.3,0.6,0.0,0.0,6.58
292,Loïc Rémy,0.2,0.0,0.8,0.0,0.4,0.2,0.1,0.0,6.58
293,Martin Terrier,0.9,0.4,1,0.0,0.4,0.5,0.0,0.0,6.58
294,Kevin Strootman,1.6,0.7,1.3,0.0,0.8,1.2,0.0,0.0,6.57
295,Romain Perraud,1.5,1.4,1.1,0.2,2.1,0.7,0.5,0.0,6.57
296,Mathias Pereira Lage,1.2,0.7,1.5,0.0,0.2,1.0,0.0,0.0,6.57
297,Yassine Benrahou,0.5,0.3,0.2,0.0,0.2,0.5,0.0,0.0,6.57
298,Jérémy Gelin,1,1.1,0.5,0.2,2.3,0.4,0.5,0.0,6.57
299,Brendan Chardonnet,1,1.3,0.6,0.8,4.1,0.4,0.4,0.0,6.57
300,Ngonda Muzinga,2.5,1.8,1.3,0.3,3.3,0.5,0.5,1,6.57
301,Romain Philippoteaux,0.9,0.5,0.6,0.0,0.2,1.3,0.0,0.0,6.57
302,Fodé Ballo-Touré,1.7,1.1,0.8,0.2,1.7,0.7,0.0,1,6.57
303,Reinildo,2.3,1.2,1.3,0.2,0.9,1,0.1,1,6.57
304,Moussa Doumbia,0.6,0.4,0.8,0.0,0.2,0.7,0.0,0.0,6.56
305,Colin Dagba,1.0,0.6,1.3,0.0,0.7,0.4,0.1,0.0,6.56
306,Quentin Boisgard,1.6,0.6,0.9,0.0,0.2,1.1,0.0,0.0,6.56
307,Edinson Cavani,0.4,0.1,0.6,0.0,0.1,0.2,0.0,0.0,6.56
308,Florian Miguel,2.1,1.4,1.9,0.4,1.2,0.9,0.2,0.0,6.56
309,Denis Petric,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.56
310,Ibrahima Sissoko,2.0,0.9,1.8,0.0,0.9,1.4,0.2,0.0,6.56
311,Antonin Bobichon,0.8,0.6,0.9,0.0,0.0,1.5,0.0,0.0,6.56
312,Malang Sarr,1.0,1.9,0.4,0.3,1.4,0.7,0.2,0.0,6.56
313,Efthymios Koulouris,0.5,0.1,0.6,0.0,0.6,0.4,0.2,0.0,6.56
314,Abdoulaye Jules Keita,1.3,1.0,1.0,0.0,0.0,1.7,0.0,0.0,6.55
315,Haitam Aleesami,1.6,1.5,1.4,0.1,2.3,1.1,0.5,0.0,6.55
316,Theo Valls,1.7,0.6,0.6,0.0,0.3,1.5,0.0,0.0,6.54
317,Sergi Palencia,2.7,1.3,1.3,0.0,0.3,0.3,0.2,0.0,6.54
318,Renaud Cohade,2.3,0.7,1.7,0.0,0.4,1.3,0.3,0.0,6.54
319,Sofiane Alakouch,2.6,1.4,0.8,0.2,2.1,1.4,0.1,1,6.54
320,Tiago Djaló,1.0,1.2,1.0,0.0,3.0,0.6,0.2,0.0,6.54
321,Christophe Hérelle,0.9,1.1,1.1,0.5,1.5,0.3,0.5,0.0,6.54
322,Samuel Grandsir,1.4,0.6,0.8,0.0,0.2,0.8,0.0,0.0,6.54
323,Lamine Fomba,3.3,1.3,2.2,0.0,0.6,1.1,0.2,0.0,6.54
324,Miguel Trauco,1.7,1.2,1.3,0.1,1.2,1.3,0.1,0.0,6.53
325,Nuno da Costa,1.1,0.3,0.9,0.0,0.2,0.4,0.0,0.0,6.53
326,Ibrahima Niane,0.4,0.5,0.4,0.0,0.4,0.5,0.0,0.0,6.53
327,Stefan Mitrovic,0.7,1.0,0.8,0.3,3.7,0.3,0.4,0.0,6.53
328,Luiz Araújo,1.0,0.2,0.6,0.0,0.2,1.2,0.0,0.0,6.53
329,Nicolas Isimat-Mirin,1.0,1.6,1.1,0.4,5.1,0.4,0.9,0.0,6.53
330,Prince-Désir Gouano,1.0,0.7,1.3,0.0,5,0.0,1,0.0,6.53
331,Wahbi Khazri,1.1,0.3,1.3,0.0,0.0,1.1,0.0,0.0,6.52
332,Yann M'Vila,1.3,1.7,0.6,0.1,1.9,1.3,0.2,0.0,6.52
333,Mahdi Camara,2.8,1.5,1.4,0.1,0.4,1.2,0.2,0.0,6.52
