,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
352,Yohan Cabaye,0.0,1,0.7,0.5,0.4,0.8,0.0,0.3,0.7,6.48
353,Thomas Delaine,0.0,0.0,0.4,0.8,1.1,0.7,0.0,0.7,1.4,6.48
354,Wesley Saïd,2,1,1.1,0.5,1.2,0.3,0.0,0.7,1.1,6.47
355,Senou Coulibaly,0.0,0.0,0.5,0.1,0.1,0.5,0.0,0.2,0.3,6.47
356,Vincent Manceau,0.0,0.0,0.4,0.6,0.3,0.5,0.0,0.4,1.0,6.47
357,Lebo Mothiba,3,3,1.3,0.5,0.5,0.3,0.3,0.6,1.7,6.47
358,François Kamano,1,0.0,0.5,0.5,1,1.5,0.1,0.9,1.2,6.46
359,Anthony Limbombe,1,0.0,0.5,0.5,0.3,0.5,0.3,0.0,1.5,6.45
360,Racine Coly,1,0.0,0.6,0.1,0.5,0.8,0.1,0.3,1.6,6.45
361,Andy Pelmard,0.0,0.0,0.2,0.0,0.2,0.7,0.0,0.5,0.7,6.44
362,Jemerson,0.0,0.0,0.0,0.2,0.1,0.6,0.0,0.3,0.5,6.44
363,Keita Baldé,4,2,1.3,0.3,0.2,0.7,0.2,0.5,1.1,6.43
364,Albert-Nicolas Lottin,0.0,0.0,0.0,0.0,2,0.0,0.0,1,0.0,6.43
365,Cesc Fàbregas,0.0,3,0.6,1.3,0.2,0.4,0.1,0.3,0.4,6.43
366,Clement Vidal,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,6.43
367,Yusuf Yazici,1,4,1.2,1.3,0.4,0.4,0.1,1.6,0.9,6.43
368,Haris Duljevic,0.0,3,1,0.8,0.9,0.6,0.1,0.8,1.4,6.43
369,Ignatius Ganago,3,1,0.7,0.5,0.8,1,0.1,0.6,1.5,6.43
370,Alexandre Mendy,3,1,1.5,0.3,0.4,0.5,0.2,0.5,1,6.42
371,Joris Chotard,0.0,1,0.5,0.6,0.4,1.1,0.1,0.2,1.4,6.42
372,Baptiste Reynet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.42
373,Ibrahim Cissé,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,6.42
374,Moussa Koné,2,0.0,1.4,0.2,0.0,0.6,0.6,0.0,1,6.42
375,Hugo Magnetti,0.0,0.0,0.8,0.5,0.1,0.8,0.0,0.3,0.3,6.42
376,Arnaud Nordin,1,0.0,0.7,0.6,1.1,1.7,0.0,1.1,1.7,6.42
377,Khéphren Thuram,0.0,0.0,0.1,0.2,0.6,0.1,0.0,0.4,0.8,6.41
378,Stoppila Sunzu,0.0,0.0,0.2,0.1,0.1,0.4,0.1,0.1,0.4,6.41
379,Myziane Maolida,1,2,0.8,0.7,0.7,0.3,0.1,1.2,0.9,6.41
380,Rayan Cherki,0.0,0.0,0.5,0.2,1.7,1,0.0,1.2,0.7,6.4
381,Kouadio Koné,0.0,0.0,0.7,0.4,0.8,2.2,0.0,0.5,1.3,6.4
382,Thierry Ambrose,0.0,0.0,1.3,0.7,1.4,0.5,0.1,1.3,1.3,6.4
383,Thomas Monconduit,0.0,0.0,0.6,0.5,0.8,1.1,0.1,0.8,1.1,6.39
384,Mateo Pavlovic,0.0,0.0,0.6,0.1,0.0,0.3,0.0,0.1,0.1,6.39
385,Antonin Bobichon,0.0,0.0,1,1,0.5,0.5,0.0,1,1,6.39
386,Benjamin Jeannot,0.0,0.0,2.5,0.0,0.0,1.5,0.0,1,2.5,6.39
387,Charles Abi,0.0,0.0,0.3,0.5,0.9,0.7,0.5,0.5,1.7,6.39
388,Marcus Coco,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,6.38
389,Cheick Timité,0.0,0.0,1,0.3,0.0,0.7,0.0,0.0,0.0,6.38
390,Victorien Angban,0.0,0.0,0.2,0.2,0.8,1.3,0.0,0.9,0.9,6.37
391,Gaëtan Paquiez,0.0,0.0,0.2,0.2,0.3,0.8,0.0,0.3,1,6.37
392,Bastian Badu,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,6.37
393,Mathías Suárez,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,6.37
394,Kévin Zohi,1,1,0.9,0.2,0.9,0.5,0.1,0.5,0.8,6.37
395,Fousseni Diabaté,1,3,0.4,0.7,1.5,0.5,0.1,1.4,2.6,6.37
396,Suk Hyun-Jun,1,1,0.9,0.2,0.1,0.3,0.2,0.1,1.1,6.36
397,Théo Pellenard,0.0,0.0,0.0,0.9,0.5,0.3,0.0,0.6,0.8,6.36
398,Timothée Kolodziejczak,0.0,0.0,0.2,0.5,0.3,0.3,0.1,0.1,1.1,6.36
399,Casimir Ninga,3,1,1.9,0.8,0.6,0.6,0.1,1.8,1.9,6.36
400,Steven Moreira,0.0,0.0,0.4,0.9,0.6,0.5,0.1,0.6,0.9,6.36
