,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
211,Gabriel Jesus,24,Forward,Manchester City,2060,1117,943,Brazil,29,15,14,9,5,4,4,1,3,0,0,15,8,7,15,7,8,2,0,0.57,0.17,0.39,0.4,0.38,229,0.66,137,71,1030,515,0.09,34,76,-1,4,0.6,0.5,1,0,0.2,0.6,0,0,9,4,1.9,1.1,1.7,1.6,0.6,1.3,2,4,1.1,25.2,85,0.1,0.4,0
212,Gabriel Teodoro Martinelli Silva,20,Midfielder,Arsenal,588,309,279,Brazil,14,8,6,2,0,2,1,0,1,0,0,6,3,3,3,3,0,0,0,0.46,0.15,0.31,0,0.65,294,0.46,196,42,0,588,0,48,97,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Gaetano Berardi,32,Defender,Leeds United,113,69,44,Switzerland,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,-1,-1,-1,23,1,0.5,0.5,0,1,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,27.5,83.6,0,1,0
214,Gareth Bale,32,Forward,Tottenham Hotspur,921,504,417,Wales,20,11,9,11,9,2,2,1,1,0,0,5,3,2,10,5,5,1,0,1.27,0.2,1.07,1.61,0.43,84,0.98,92,46,921,461,0.1,1,54,-1,3,0.9,0.4,0.5,0.1,0.7,0.4,0.1,0,11,2,1.9,1.1,1.4,0.5,0.3,0.4,0.9,2,1.1,18.3,73.2,0.6,1.5,0.1
215,Gary Cahill,35,Defender,Crystal Palace,1800,990,810,England,20,11,9,1,0,1,1,0,1,0,0,4,3,1,35,19,16,3,0,0.1,0.05,0.05,0,0.11,1800,1.75,51,90,600,1800,0.15,224,204,144,7,0.7,0.7,0.6,0.3,4.3,0.2,1.1,0,1,1,0.6,0.4,0.1,0.2,0.2,0.1,0.4,1,0.4,37.3,82.4,0,2.4,0
216,Gedson Carvalho Fernandes,22,Midfielder,Tottenham Hotspur,0,0,0,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,George Baldock,28,Defender,Sheffield United,2789,1394,1395,England,32,16,16,0,0,0,2,1,1,0,0,4,3,1,50,21,29,7,0,0.06,0.06,0,0,0,0,1.61,56,87,398,1395,0.23,408,193,130,24,1.5,0.8,1.4,0.1,1.9,0.9,0.2,0,0,2,0.4,0.6,0.5,0.7,0.3,0.6,1,2,0.6,28,78.3,0.3,0.7,0
218,Georginio Wijnaldum,30,Midfielder,Liverpool,2946,1623,1323,Netherlands,38,19,19,2,1,1,0,0,0,0,0,12,5,7,37,19,18,1,0,0.06,0,0.06,0.06,0.07,1473,1.13,80,78,2946,0,0.03,208,353,-1,6,0.6,0.7,0.4,0,0.4,0.6,0.1,0,2,0,0.8,0.6,0.9,0.6,0,0.7,1,0,0.6,46.2,92.7,0,1.2,0
219,Giovani Lo Celso,25,Midfielder,Tottenham Hotspur,949,528,421,Argentina,18,9,9,1,1,0,1,0,1,0,0,8,4,4,9,3,6,5,0,0.19,0.09,0.09,0.17,0,949,0.85,105,53,190,949,0.47,161,151,-1,9,1.6,0.4,1.1,0.1,0.3,1.1,0.1,0,1,1,0.8,0.8,0.4,1.1,0,0.8,1.2,1,0.8,31.7,81.4,0.2,1.1,0.1
220,Grady Diangana,23,Midfielder,West Bromwich Albion,1239,631,608,England,20,11,9,1,0,1,0,0,0,0,0,2,2,0,31,17,14,0,0,0.07,0,0.07,0,0.15,1239,2.25,40,62,0,0,0,192,323,-1,9,1.8,0.8,0.6,0,0.4,1.2,0.1,0,1,0,0.7,0.3,1.3,1.8,0.2,1.9,2.6,0,0.3,16.8,76.2,0.1,0.3,0
