,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
574,Sidy Sarr,25,Midfielder,Nîmes,464,234,230,Senegal,9,4,5,0,0,0,0,0,0,0,0,2,1,1,8,4,4,1,0,0,0,0,0,0,0,1.55,58,52,464,0,0.19,336,325,-1,29,1.1,0.8,1,0.4,0.1,0,0,0,1,0.3,0.3,0.6,0.1,0.2,0.4,0,0.3,24.2,79.8,0,2.8,0.1
575,Simon Bokote Banza,24,Forward,Lens,1364,644,720,France,34,17,17,5,3,2,2,2,0,1,0,7,4,3,14,6,8,6,1,0.46,0.13,0.33,0.42,0.25,273,0.92,97,40,227,682,0.4,50,109,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576,Simon Brady Ngapandouetnbu,17,Goalkeeper,Olympique Marseille,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577,Sinaly Diomande,20,Defender,Olympique Lyonnais,1119,684,435,Côte d'Ivoire,27,13,14,0,0,0,0,0,0,0,0,8,4,4,12,8,4,3,0,0,0,0,0,0,0,0.97,93,41,373,0,0.24,301,284,31,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578,Sofiane Alakouch,23,Midfielder,Nîmes,1510,821,689,France,22,13,9,0,0,0,2,0,2,0,0,2,1,1,32,18,14,4,0,0.12,0.12,0,0,0,0,1.91,47,69,378,755,0.24,339,123,-1,26,2.4,1,1.1,1.4,0.1,0,0,2,0.2,0.2,0.8,1.2,0,0.8,1.2,2,0.2,32.5,78,0.1,1.7,0
579,Sofiane Boufal,27,Midfielder,Angers SCO,736,422,314,Morocco,14,6,8,1,0,1,0,0,0,0,0,5,1,4,10,7,3,3,0,0.12,0,0.12,0,0.29,736,1.22,74,53,245,0,0.37,151,262,-1,12,1.2,0.2,1.6,0,0,0,1,0,0.9,0.2,2.4,1.6,0,1.5,1.9,0,0.2,19,77.1,0,0.6,0
580,Sofiane Diop,21,Midfielder,Monaco,2034,1001,1033,France,32,16,16,7,3,4,1,0,1,0,0,11,6,5,25,12,13,4,0,0.35,0.04,0.31,0.27,0.35,291,1.11,81,64,509,2034,0.18,58,228,-1,3,1.5,1,1,0.3,0,0,7,1,1.4,0.9,1.4,1.8,0.1,1.1,1.7,1,0.9,29.2,80.6,0.3,1,0
581,Soudeysse Kari,19,Midfielder,Nice,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582,Souleyman Doumbia,24,Defender,Angers SCO,2221,1102,1119,Côte d'Ivoire,27,14,13,0,0,0,1,1,0,0,0,6,1,5,28,16,12,8,0,0.04,0.04,0,0,0,0,1.13,79,82,278,2221,0.32,367,224,57,29,1.8,1.6,1.2,1.3,0.1,1,0,1,0.3,0.7,0.9,0.6,0,0.9,1.7,1,0.7,35.9,82.4,0.5,0.8,0
583,Stanley Nsoki,22,Midfielder,Nice,1242,577,665,France,18,9,9,0,0,0,0,0,0,0,0,2,0,2,24,15,9,4,0,0,0,0,0,0,0,1.74,52,69,311,0,0.29,388,383,-1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584,Stefan Bajic,19,Goalkeeper,Saint-Étienne,90,90,0,France,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,4,23,90,0,0,0,-1,-1,-1,32,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,50,0,5,0
585,Stefan Mitrović,31,Defender,Strasbourg,2784,1300,1484,Serbia,32,15,17,2,1,1,0,0,0,0,0,7,4,3,49,21,28,4,1,0.06,0,0.06,0.07,0.06,1392,1.58,57,87,557,0,0.16,229,415,126,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586,Stéphane Bahoken,29,Forward,Angers SCO,1618,797,821,France,30,15,15,6,2,4,2,1,1,0,1,6,3,3,25,8,17,4,0,0.44,0.11,0.33,0.23,0.44,270,1.39,65,54,405,809,0.22,53,134,-1,2,0.3,0.3,1,0.3,0,0,6,2,2,0.4,0.5,1,0.6,1.1,2.3,2,0.4,10.3,74.8,0,0.1,0
587,Stéphane Diarra,22,Midfielder,Lorient,188,85,103,France,13,6,7,0,0,0,0,0,0,0,0,2,1,1,5,4,1,1,0,0,0,0,0,0,0,2.39,38,14,188,0,0.48,-1,-1,-1,22,0,0.3,0.3,0,0.1,0,0,0,0.2,0.5,0.3,0.2,0.2,0.5,0.5,0,0.5,5.2,73.5,0.4,0.1,0
588,Stephy Mavididi,23,Forward,Montpellier,2033,906,1127,England,35,18,17,9,5,4,0,0,0,0,0,5,1,4,29,16,13,3,0,0.4,0,0.4,0.5,0.32,226,1.28,70,58,678,0,0.13,38,285,-1,3,0.5,0.4,0.9,0.1,0,0,9,0,0.9,0.4,1,0.9,0.1,1.1,2.1,0,0.4,13,81.3,0.1,0.3,0
589,Stevan Jovetić,31,Forward,Monaco,784,393,391,Montenegro,29,14,15,6,4,2,0,0,0,0,1,13,7,6,9,3,6,1,0,0.69,0,0.69,0.92,0.46,131,1.03,87,27,784,0,0.11,5,396,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,Steve Mandanda,36,Goalkeeper,Olympique Marseille,3330,1620,1710,France,37,18,19,0,0,0,0,0,0,0,0,8,2,6,39,21,18,1,0,0,0,0,0,0,0,1.05,85,90,3330,0,0.03,407,304,45,19,0,0.1,0,0.5,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,30.3,66,0,5,0
591,Steve Mounié,26,Forward,Brest,2694,1434,1260,Benin,35,18,17,9,6,3,4,3,1,1,1,7,3,4,46,26,20,6,0,0.43,0.13,0.3,0.38,0.21,299,1.54,59,77,449,674,0.2,63,103,-1,1,0.4,0.3,1.9,1.1,0.1,0,9,4,2.3,0.5,0.4,0.8,0.6,1.1,2,4,0.5,20.9,58,0.1,0.5,0
592,Steven Fortès,29,Defender,Lens,1437,843,594,Cape Verde,18,10,8,0,0,0,0,0,0,0,0,2,0,2,22,13,9,7,1,0,0,0,0,0,0,1.38,65,80,205,0,0.44,313,305,103,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593,Steven N'Kemboanza Mike Christopher N'Zonzi,32,Midfielder,Rennes,2910,1471,1439,France,34,17,17,1,1,0,1,0,1,0,0,9,4,5,33,17,16,9,1,0.06,0.03,0.03,0.06,0,2910,1.02,88,86,291,2910,0.31,264,241,-1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594,Strahinja Pavlović,20,Defender,Monaco,0,0,0,Serbia,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595,Sven Botman,21,Defender,Lille,3311,1601,1710,Netherlands,37,18,19,0,0,0,0,0,0,0,0,20,9,11,21,10,11,2,0,0,0,0,0,0,0,0.57,158,89,1656,0,0.05,373,366,6,19,0.8,1.5,0.4,3.2,0.6,0,0,0,0.4,0.1,0.2,0.7,0.1,0.1,0.5,0,0.1,70,86.5,0,3.8,0
596,Sylvain Marveaux,35,Midfielder,Lorient,197,112,85,France,9,5,4,0,0,0,0,0,0,0,0,0,0,0,9,6,3,0,0,0,0,0,0,0,0,4.11,22,22,0,0,0,-1,-1,-1,19,0.7,0.1,0.2,0.1,0,0,0,0,0.6,0.2,0.4,0.8,0,0.7,0.3,0,0.2,9.7,80.5,0.1,0.3,0
597,Teddy Bartouche,24,Goalkeeper,Lorient,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598,Teddy Boulhendi,20,Goalkeeper,Nice,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,Téji Savanier,29,Midfielder,Montpellier,2175,1125,1050,France,27,14,13,5,3,2,5,4,1,2,2,4,1,3,33,16,17,7,1,0.41,0.21,0.21,0.24,0.17,435,1.37,66,81,272,435,0.33,103,51,-1,4,1.8,1.4,2.1,0.6,0.2,0,5,5,2.1,2.3,1.9,2.4,0,1.6,1.8,5,2.3,40,74.4,2,4.7,0
600,Teremas Igoboras Moffi,22,Forward,Lorient,2091,1023,1068,Nigeria,32,16,16,14,6,8,2,2,0,1,0,5,4,1,37,15,22,2,0,0.69,0.09,0.6,0.53,0.67,149,1.59,57,65,1046,1046,0.09,10,161,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,Théo Pionnier Bertrand,19,Defender,Nice,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,Thiago Mendes,29,Midfielder,Olympique Lyonnais,2240,1150,1090,Brazil,32,16,16,0,0,0,1,1,0,0,0,10,5,5,27,15,12,6,1,0.04,0.04,0,0,0,0,1.08,83,70,320,2240,0.28,409,222,-1,21,1.2,1.3,0.8,0.6,0.2,0,0,1,0.7,0.8,0.5,0.7,0,0.4,0.8,1,0.8,45.7,88.3,0.1,3.5,0.1
603,Thibault De Smet,23,Defender,Reims,499,253,246,Belgium,8,4,4,0,0,0,0,0,0,0,0,2,1,1,7,4,3,3,0,0,0,0,0,0,0,1.26,71,62,166,0,0.54,329,316,80,24,1.4,0.8,1.4,1.4,0.1,0,0,0,0,0.5,0.3,0.8,0,0,0.4,0,0.5,36.5,78.8,0.1,1.1,0
604,Thibaut Vargas,21,Midfielder,Montpellier,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
