,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
44,Marcus Thuram,8,2,2,0.6,1.6,1.3,0.6,1.2,2.2,6.99
45,Lucas Hernández,0.0,2,0.2,0.6,0.8,1.3,0.0,0.4,1.2,6.98
46,Ridle Baku,6,6,1.1,1.4,1.2,1.2,0.3,1.2,1.9,6.98
47,Xaver Schlager,2,4,1.5,0.8,1.3,1,0.0,1,2,6.97
48,Niklas Süle,1,0.0,1,0.4,0.6,0.2,0.0,0.2,0.4,6.97
49,Pavao Pervan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.97
50,Tobias Sippel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,6.97
51,Edmond Tapsoba,1,0.0,0.5,0.1,0.6,0.3,0.2,0.3,0.7,6.96
52,Ihlas Bebou,9,7,1.5,1.2,1.3,1,0.1,1.8,3.4,6.96
53,Dani Olmo,5,9,2.4,1.3,1,1.2,0.1,1.2,2.2,6.95
54,John Brooks,2,0.0,0.6,0.2,0.2,0.5,0.0,0.1,0.3,6.94
55,Florian Neuhaus,6,5,1.5,0.7,1.3,1.2,0.0,0.9,1.4,6.94
56,Leroy Sané,6,9,1.8,1,1.9,0.7,0.2,1.5,2.6,6.94
57,Moussa Diaby,4,10,1.6,1.4,1.8,0.5,0.3,1.3,1.9,6.93
58,Marvin Friedrich,5,2,0.7,0.4,0.4,0.6,0.1,0.2,0.7,6.93
59,Josip Stanisic,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1.0,6.93
60,Felix Uduokhai,1,0.0,0.4,0.1,0.5,0.9,0.0,0.3,0.6,6.93
61,Daichi Kamada,5,12,1.2,1.8,1,0.9,0.2,1.3,1.9,6.93
62,Amos PieperArminia Bielefeld,1,1,0.5,0.2,0.3,0.8,0.0,0.1,0.4,6.92
63,Mark Flekken,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.92
