,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
397,Ishak Belfodil,1,0.5,10.1,70.4,0.1,0.1,0.1,6.23
398,Melayro Bogarde,1,0.6,17.0,83.7,0.1,0.9,0.0,6.23
399,Aarón Martín,0.0,0.6,22.6,73.5,0.8,1.4,0.0,6.23
400,Bartosz Bialek,0.0,0.2,3.9,67.6,0.0,0.4,0.0,6.23
401,Jan Thielmann,3,0.4,12.6,67.3,0.2,0.1,0.0,6.23
402,Jóan Símun EdmundssonArminia Bielefeld,0.0,0.0,2.4,66.7,0.0,0.4,0.0,6.23
403,Finn Dahmen,0.0,0.0,23.3,74.3,0.0,3,0.0,6.22
404,Nils SeufertArminia Bielefeld,1,0.4,13.2,84.2,0.1,0.2,0.0,6.22
405,Emmanuel Dennis,0.0,0.2,13.9,72.0,0.3,0.0,0.0,6.21
406,Sebastian Rudy,0.0,1.5,48.5,63.9,1,4,0.0,6.21
407,Ádám Szalai,0.0,0.3,11.2,56.2,0.0,0.3,0.1,6.21
408,Benito Raman,0.0,0.6,11.6,68.0,0.3,0.7,0.0,6.21
409,Dimitris Limnios,0.0,0.4,9.1,69.7,0.1,0.3,0.0,6.21
410,Marco Höger,0.0,0.0,8.7,69.2,0.0,0.0,0.0,6.21
411,Marcin Kaminski,0.0,0.4,42.0,88.6,0.2,1.4,0.0,6.2
412,Niklas Tauer,0.0,0.2,3.8,52.6,0.2,0.0,0.0,6.2
413,Jessic Ngankam,0.0,0.1,3.1,76.6,0.0,0.1,0.0,6.2
414,Sven SchipplockArminia Bielefeld,0.0,0.3,5.3,55.6,0.0,0.1,0.0,6.19
415,Nishan Burkart,0.0,0.0,7.0,71.4,0.0,0.0,0.0,6.19
416,Philipp Bargfrede,0.0,0.0,16.0,93.8,0.0,0.0,0.0,6.19
417,Janik Haberer,0.0,0.1,14.7,78.2,0.1,0.6,0.0,6.19
418,Fredrik Jensen,1,0.5,7.4,66.7,0.1,0.2,0.0,6.19
419,Niko Gießelmann,0.0,0.2,14.7,67.0,0.2,0.9,0.0,6.19
420,Christopher Scott,0.0,0.0,4.5,77.8,0.0,0.0,0.0,6.19
421,Nick Woltemade,0.0,0.5,6.3,65.8,0.0,0.3,0.0,6.18
