,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
56,Emiliano Martínez,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2,67.3,0.0,3.7,0.0
57,João Moutinho,2.4,1.3,1.1,0.0,0.5,2.4,0.3,0.0,1.0,6.0,0.6,2.0,0.4,0.7,0.1,0.6,0.5,6.0,2.0,48.4,85.5,1.8,4.0,0.1
58,Declan Rice,3.1,2.0,1.1,0.0,1.3,1.3,0.2,0.0,1.0,3.0,0.8,0.6,1.3,0.2,0.1,0.6,0.7,3.0,0.6,45.6,86.0,0.3,3.4,0.0
59,Nemanja Matic,2.2,1.0,1.3,0.0,1.2,1.1,0.4,0.0,0.0,2.0,0.3,0.7,1.0,0.9,0.0,0.8,0.9,2.0,0.7,60.2,87.0,0.1,2.2,0.0
60,John McGinn,1.9,0.9,1.3,0.0,0.5,1.5,0.0,0.0,3.0,3.0,2.0,1.3,1.9,2.4,0.0,1.8,1.5,3.0,1.3,25.4,81.4,0.5,2.9,0.0
61,Aymeric Laporte,0.9,1.3,0.6,0.7,1.7,0.3,0.3,0.0,1.0,0.0,0.3,0.2,0.1,0.6,0.0,0.1,0.1,0.0,0.2,76.5,92.5,0.0,3.9,0.0
62,Japhet Tanganga,2.8,1.8,1.3,0.3,4.8,1.2,1.0,0.0,0.0,0.0,0.5,0.2,1.0,0.7,0.0,0.8,2.2,0.0,0.2,33.5,81.1,0.0,1.0,0.0
63,Jarrod Bowen,1.5,1.2,0.3,0.0,0.3,1.0,0.0,0.0,1.0,4.0,1.8,1.2,1.2,1.5,0.1,1.1,1.5,4.0,1.2,16.4,77.0,1.2,1.0,0.0
64,Matt Doherty,1.5,1.1,0.8,0.1,1.3,0.4,0.1,0.0,4.0,3.0,1.0,0.6,0.8,0.5,0.1,0.4,1.3,3.0,0.6,41.0,74.9,0.2,1.3,0.0
65,Hugo Lloris,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,67.1,0.0,5.8,0.0
