,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
88,Santiago Arias,1.9,1.4,0.8,0.0,1.4,0.4,0.1,0.0,1.0,1.0,0.4,0.6,0.3,1.3,0.1,0.4,0.9,1.0,0.6,31.6,81.9,0.4,0.6,0.0
89,Marc Roca,2.1,1.0,1.7,0.1,1.7,1.2,0.6,0.0,1.0,2.0,0.7,0.7,0.8,0.8,0.0,0.7,0.6,2.0,0.7,55.9,86.9,0.0,4.3,0.3
90,Jan Oblak,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,20.5,49.4,0.0,6.2,0.0
91,Jeison Murillo,2.0,2.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,17.0,94.1,0.0,0.0,0.0
92,Jorge Miramón,2.4,1.5,0.9,0.4,1.8,0.6,0.4,0.0,1.0,0.0,0.4,0.9,1.1,0.4,0.0,0.5,1.1,0.0,0.9,32.8,75.1,0.8,2.6,0.0
93,Naldo,1.1,1.6,0.8,0.8,6.9,0.3,0.8,0.0,1.0,1.0,0.4,0.1,0.1,0.3,0.1,0.1,0.6,1.0,0.1,37.5,81.3,0.0,2.9,0.0
94,Óscar Rodríguez,1.5,0.5,1.0,0.0,0.4,1.4,0.1,0.0,4.0,3.0,2.0,1.5,1.2,0.9,0.1,1.1,1.9,3.0,1.5,30.6,75.4,1.3,1.7,0.0
95,Gonçalo Guedes,1.2,0.3,0.8,0.0,0.0,1.2,0.0,0.0,5.0,3.0,1.4,0.8,1.4,2.0,0.3,1.0,1.6,3.0,0.8,23.9,75.9,0.4,0.9,0.1
96,Jony,0.6,0.6,0.9,0.0,0.3,0.8,0.0,0.0,5.0,10.0,1.5,2.4,1.7,0.9,0.4,1.7,3.0,10.0,2.4,21.6,65.3,2.0,1.7,0.1
97,Rubén Alcaraz,2.8,1.1,2.0,0.1,1.4,1.7,0.3,0.0,3.0,2.0,1.5,0.6,0.7,3.2,0.0,1.2,1.0,2.0,0.6,50.4,83.6,0.2,5.3,0.0
98,Arturo Vidal,2.4,0.9,1.8,0.1,0.6,1.2,0.2,0.0,3.0,7.0,0.7,0.7,0.2,1.0,0.0,0.5,0.9,7.0,0.7,45.4,89.0,0.1,1.6,0.1
99,Antunes,1.5,1.5,1.3,0.4,2.1,0.6,0.3,0.0,1.0,3.0,1.0,1.1,0.8,0.7,0.0,0.5,0.9,3.0,1.1,28.2,58.2,1.5,2.9,0.0
100,Jonathan Silva,1.7,1.0,1.7,0.1,2.3,1.0,0.1,0.0,3.0,6.0,0.8,1.6,0.4,0.7,0.1,0.4,1.4,6.0,1.6,29.6,71.7,1.4,1.6,0.0
101,Sergio Asenjo,0.0,0.1,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,21.4,60.3,0.0,6.4,0.0
102,Damián Suárez,2.7,1.3,1.6,0.6,1.4,1.9,0.2,0.0,0.0,3.0,0.4,1.7,0.6,1.5,0.1,0.6,0.8,3.0,1.7,36.8,65.0,1.7,4.0,0.0
103,Mikel Merino,1.7,1.0,2.4,0.0,1.2,1.3,0.1,0.0,3.0,3.0,0.8,0.4,1.0,1.3,0.0,1.6,1.5,3.0,0.4,37.6,79.6,0.2,1.9,0.1
104,Jaime Mata,0.9,0.5,2.3,0.0,0.8,0.6,0.0,0.0,14.0,6.0,1.7,0.6,0.4,1.5,0.9,1.1,2.5,6.0,0.6,19.1,62.9,0.1,0.6,0.0
105,Ximo Navarro,1.8,1.5,0.6,0.5,4.2,0.4,0.4,0.0,2.0,2.0,0.4,0.3,0.5,1.2,0.0,0.5,0.8,2.0,0.3,26.5,79.1,0.5,2.0,0.0
106,Gareth Bale,0.6,0.4,0.6,0.0,0.4,0.5,0.1,0.0,8.0,3.0,2.6,0.6,0.8,0.7,0.5,0.7,0.8,3.0,0.6,23.8,78.3,0.4,1.5,0.0
107,Clément Lenglet,2.0,0.9,1.3,0.7,3.0,0.6,0.9,1.0,1.0,0.0,0.3,0.0,0.3,0.6,0.0,0.1,0.2,0.0,0.0,49.8,89.4,0.0,3.0,0.0
108,Daniel Carriço,1.5,1.3,1.3,0.8,4.3,0.3,0.5,0.0,1.0,1.0,0.4,0.2,0.3,0.3,0.0,0.3,0.3,1.0,0.2,41.7,79.7,0.0,3.0,0.0
109,Pedro Alcalá,1.3,1.4,0.8,0.6,4.8,0.3,0.7,0.0,1.0,1.0,0.6,0.2,0.2,0.5,0.1,0.2,0.3,1.0,0.2,34.5,79.4,0.0,2.6,0.0
110,Okay Yokuslu,2.0,1.2,1.4,0.1,1.7,0.6,0.4,0.0,2.0,0.0,0.6,0.4,0.9,1.1,0.0,0.7,0.9,0.0,0.4,46.2,86.1,0.0,2.7,0.0
111,Simon Kjaer,1.1,1.0,0.8,0.8,5.2,0.3,1.3,0.0,0.0,0.0,0.5,0.2,0.0,0.5,0.0,0.0,0.2,0.0,0.2,34.9,85.7,0.0,2.5,0.1
112,Nacho,3.1,1.3,0.8,0.2,2.3,0.9,0.3,0.0,1.0,3.0,0.5,1.2,0.4,1.0,0.2,0.3,0.8,3.0,1.2,39.4,71.0,0.7,2.7,0.0
113,Alejandro Granell,2.0,1.1,1.0,0.0,1.0,1.5,0.2,0.0,0.0,4.0,1.2,1.6,0.7,1.5,0.0,0.8,0.8,4.0,1.6,40.8,76.1,1.7,3.4,0.1
114,Franco Vázquez,1.5,0.7,1.5,0.0,0.7,1.3,0.1,0.0,3.0,4.0,1.3,0.9,1.3,2.1,0.1,1.8,1.6,4.0,0.9,31.4,79.3,0.2,1.4,0.2
115,Thomas Lemar,1.2,0.7,0.7,0.0,0.1,0.7,0.0,0.0,3.0,3.0,0.8,1.2,1.5,1.1,0.2,1.5,1.2,3.0,1.2,30.3,85.2,0.7,1.0,0.1
116,Joaquín,0.3,0.5,0.3,0.1,1.0,0.1,0.1,0.0,6.0,0.0,0.8,1.5,1.6,1.1,0.1,0.9,1.0,0.0,1.5,28.2,84.8,0.9,0.7,0.0
117,Yuri Berchiche,1.3,1.2,1.1,0.1,2.0,0.7,0.3,0.0,2.0,2.0,0.8,0.5,0.9,2.2,0.1,0.5,1.2,2.0,0.5,39.1,81.9,0.6,1.1,0.0
118,Hugo Mallo,2.1,1.4,1.5,0.3,3.3,0.7,0.4,0.0,1.0,4.0,0.7,0.9,0.6,0.8,0.3,0.5,1.1,4.0,0.9,42.6,74.6,0.9,2.2,0.0
119,José Luis Morales,0.6,0.3,0.8,0.0,0.3,1.1,0.0,0.0,12.0,5.0,1.8,1.2,1.9,1.4,0.6,2.3,2.2,5.0,1.2,18.8,71.1,0.2,0.8,0.1
120,Pape Diop,2.4,1.3,2.4,0.0,0.9,0.7,0.0,0.0,1.0,1.0,1.3,0.4,0.6,1.7,0.0,0.4,1.1,1.0,0.4,40.3,73.2,0.1,2.0,0.0
121,Íñigo Martínez,1.6,2.1,1.2,0.5,4.3,0.4,0.4,0.0,0.0,0.0,0.8,0.2,0.1,1.7,0.0,0.2,0.4,0.0,0.2,43.6,78.0,0.1,5.3,0.0
122,Esteban Granero,1.8,0.9,1.4,0.0,1.1,1.2,0.3,0.0,3.0,1.0,1.1,1.0,1.2,1.5,0.0,1.3,0.9,1.0,1.0,40.0,86.2,0.8,2.0,0.0
123,Kévin Rodrigues,3.0,1.1,0.7,0.0,2.0,1.1,0.4,0.0,0.0,0.0,0.3,0.9,1.3,0.9,0.0,1.0,0.9,0.0,0.9,25.9,74.6,0.6,1.0,0.0
124,Aihen Muñoz,1.2,0.6,0.5,0.5,1.7,0.8,0.8,0.0,0.0,0.0,0.2,0.6,1.8,0.5,0.0,0.6,1.0,0.0,0.6,36.3,73.7,0.8,1.0,0.0
125,Marc Muniesa,2.6,1.9,1.1,0.1,2.1,0.7,0.3,0.0,0.0,0.0,0.4,0.3,0.6,1.1,0.0,0.3,0.5,0.0,0.3,40.3,80.7,0.4,2.3,0.1
126,Cristiano Piccini,1.4,1.2,0.8,0.2,2.5,0.6,0.3,0.0,1.0,0.0,0.5,0.2,1.3,0.6,0.0,0.6,0.9,0.0,0.2,33.5,78.5,0.5,1.1,0.0
