Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Cristiano Piccini,1,0,0.5,0.2,1.3,0.6,0,0.6,0.9,6.83
Marcos Llorente,0,0,0.1,0.6,1,1,0.1,1.1,0.6,6.83
Theo Hernández,1,2,1,0.8,1.8,2.9,0.2,1.1,1.5,6.83
Mikel Oyarzabal,13,2,1.8,1.2,1.3,1,0.3,2.1,2.9,6.83
Karl Toko Ekambi,10,1,1.7,0.8,1.5,0.9,0.6,0.8,1.9,6.83
Javi López,0,0,0.3,0.7,0.8,1.5,0,0.7,0.9,6.83
Iker Muniain,7,4,0.7,0.9,1.9,2.3,0,1.6,1.5,6.83
Andriy Lunin,0,0,0,0,0,0.2,0,0.2,0,6.82
Oier Olazábal,0,0,0,0,0,0.1,0,0,0,6.82
Joel Robles,0,0,0,0,0,0,0,0,0,6.81
Djené Dakonam,0,0,0.4,0.1,0.5,0.9,0,0.3,0.5,6.81
Igor Zubeldia,0,1,0.5,0.2,1.2,0.4,0,0.8,0.6,6.81
Marcelo,2,2,1.5,1.4,1.4,0.9,0.2,0.6,1.2,6.81
Alejandro Catena,0,0,1.5,0,0,1,0,0,1.5,6.81
Toni Villa,2,2,1.3,0.9,2.1,1.6,0.1,2.3,1.8,6.8
Sergi Enrich,7,4,1.9,0.8,0.3,0.9,1.1,1.3,2,6.8
Munir El Haddadi,5,1,2.1,0.7,0.7,1.5,0.6,0.9,1.3,6.8
Joseba Zaldua,1,2,0.2,0.5,0.8,2.5,0,0.4,1.2,6.8
Ramiro Funes Mori,2,1,0.8,0.2,0.2,0.7,0.1,0.2,0.4,6.8
Manu Morlanes,0,3,0.3,0.9,0.7,0.6,0,0.6,0.3,6.8
Borja García,1,3,1,1.1,1.1,3.1,0.1,1.6,1.9,6.8
Dídac Vilá,0,2,0.9,0.7,0.3,1.1,0,0.6,1,6.79
William Carvalho,0,5,0.3,0.6,1.4,1.2,0.1,1.2,0.6,6.79
Sergi Guardiola,3,1,2.7,0.5,1.1,1.8,0.8,1.9,2.7,6.79
David Juncà,0,3,0.3,0.8,0.6,1,0,0.3,0.7,6.79
Gerard Moreno,8,1,2,1.1,0.9,1.1,0.6,1.4,2.1,6.79
Abdoulaye Ba,1,0,0.3,0.1,0.2,0.5,0,0.1,0.5,6.78
Lucas Olaza,0,2,0,0.7,0.5,0.5,0,0.2,0.5,6.78
Nemanja Maksimovic,1,0,0.9,0.3,0.3,0.3,0,0.6,0.8,6.78
