,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
285,Ander Capa,1.7,1.2,1.8,0.2,1.5,0.6,0.1,,6.6
286,Óscar Melendo,0.5,0.4,0.3,,0.2,0.5,,,6.6
287,Joaquín Fernández,1.2,1.3,0.6,0.4,3.5,0.6,0.5,1,6.6
288,Wesley Hoedt,1.7,1.1,0.9,0.1,5.7,0.5,1.1,,6.6
289,Alberto García,0.1,0.1,,,0.3,0.1,,,6.6
290,Maxime Gonalons,0.8,0.5,1.7,0.1,1.0,1.4,0.4,,6.6
291,Santiago Cáseres,2.9,0.6,1.5,,1.0,1.4,0.4,,6.6
292,Recio,1.7,0.8,2.6,,0.7,1.0,0.1,,6.6
293,Gonzalo Escalante,1.5,0.7,1.0,0.1,0.6,0.8,0.1,,6.59
294,Dimitri Foulquier,1.2,0.8,2.0,0.1,1.2,0.4,0.1,,6.59
295,Rober Pier,1.2,1.5,0.8,0.5,3.7,0.7,1.1,1,6.59
296,Adrián Diéguez,1.8,1.3,1.0,0.8,4.7,0.8,0.4,,6.59
297,Quincy Promes,1.1,0.8,0.7,0.1,0.6,0.2,0.1,,6.59
298,Miguel Layún,1.0,0.1,0.8,,1.1,0.5,0.3,,6.59
299,Facundo Roncaglia,2.8,1.7,1.3,0.4,3.5,0.6,0.4,,6.59
300,Enes Ünal,0.5,0.1,1.3,,0.5,0.6,0.1,,6.59
301,Marc Cucurella,1.6,0.6,1.4,0.1,0.5,0.4,0.1,,6.58
302,Aday Benítez,0.9,0.7,0.6,0.1,1.5,0.1,,,6.58
303,Douglas Luiz,1.5,0.9,2,,1.0,1.3,0.3,,6.58
304,Robin Le Normand,1.3,1,0.8,1,3.0,0.5,,,6.58
305,Gustavo Cabral,1.5,1.4,0.8,0.3,4.3,0.4,0.5,1,6.58
306,Tomás Vaclik,,,,,0.5,,,,6.58
307,Óscar De Marcos,2,0.9,1.3,0.3,1.6,1.1,0.1,,6.57
308,David Costas,1.7,1.2,1.1,1.1,3.6,0.3,0.4,,6.57
309,Rúben Vezo,0.5,0.5,1,,2.0,0.5,0.3,,6.57
310,Sergio Álvarez,1.8,0.9,1,0.6,2.2,0.5,0.2,,6.57
311,Jordi Masip,,,,,0.4,,,,6.57
312,Gerónimo Rulli,0.1,,,,0.6,0.1,,,6.57
313,Markel Susaeta,0.8,0.5,0.5,,0.2,0.9,,,6.57
314,Ander Barrenetxea,0.8,0.4,1.3,,0.1,0.7,,,6.56
315,Gorka Elustondo,1.4,1.2,0.8,0.4,2.0,0.6,0.2,,6.56
316,Raúl García,1.6,1.2,0.8,0.4,5.2,0.4,0.4,,6.56
317,Aleix García,1.2,0.7,0.4,0.1,0.4,0.7,0.2,,6.56
318,Chris Ramos,1,,2,,1.0,,,,6.56
319,Martín Aguirregabiria,1.7,1,0.9,0.3,2.3,0.7,0.4,,6.56
320,Andrés Guardado,0.8,0.9,1.4,,0.8,1.2,,,6.55
321,Héctor Moreno,0.6,1.2,0.7,0.4,2.9,0.3,0.8,,6.55
322,José Pozo,0.4,0.1,0.4,,0.2,0.7,,,6.55
323,Vitolo,0.9,0.5,0.3,,0.2,0.7,0.1,,6.55
324,Diego Reyes,1.2,1.2,0.5,0.7,2.7,0.2,0.7,,6.54
325,Aleix Vidal,1.2,0.4,0.9,0.1,0.8,0.8,,,6.54
326,Ibrahim Amadou,1.6,0.6,0.7,0.2,1.4,0.4,0.2,,6.53
327,Rubén Blanco,,0.1,,,0.9,,,,6.53
328,Carles Planas,1.7,0.6,0.7,,1.7,1,,,6.53
329,Malcom,0.2,0.1,0.3,0.1,0.1,0.1,,,6.53
330,Juanpi Añor,1.1,0.4,0.9,,0.2,0.6,,,6.53
331,Álvaro Medrán,0.7,0.8,1.2,,0.4,0.7,,,6.53
332,Keko,1.6,0.5,1.2,,0.3,1.2,,,6.53
333,Wilfrid Kaptoum,1.5,1.0,1.6,,0.6,0.6,0.1,,6.52
334,Rúben Semedo,1.8,1.5,1.1,0.6,3.0,0.3,0.8,,6.52
335,Javi Moyano,0.9,0.9,0.3,0.3,2.7,0.6,0.3,,6.52
336,Guilherme Arana,1.2,1.0,0.6,0.2,0.8,0.1,0.3,,6.52
337,Ibai Gómez,0.4,0.1,0.3,,0.6,0.4,0.1,,6.52
338,Federico Valverde,0.8,1.3,0.9,0.1,0.6,0.4,0.1,,6.51
339,Ferran Torres,0.6,0.4,0.8,,0.3,0.3,,,6.51
340,Hernán Pérez,0.7,0.3,1.1,,0.6,1.1,0.2,,6.51
341,Takashi Inui,0.8,0.3,0.6,,0.2,1.1,,,6.51
342,Damián Musto,2.2,1.4,2,0.2,2.1,0.7,0.5,,6.51
343,Stanislav Lobotka,1,0.8,0.6,,0.5,0.7,,,6.51
344,Bebé,0.7,0.3,0.8,,0.5,0.4,,,6.51
345,Manu Trigueros,1.9,0.7,1.5,,0.7,1.5,0.3,,6.51
346,Sergio Álvarez,,,0.1,,0.5,,,,6.51
347,Miguel Ángel Moyá,0.1,0.1,,,1.4,0.1,,,6.51
348,Íñigo Lekue,1.3,1,0.3,,2.5,1.3,,,6.51
349,Luca Sangalli,1.1,0.3,0.6,,0.2,0.9,0.1,,6.51
350,Stole Dimitrievski,,,,,0.8,,,,6.5
351,Borja Mayoral,0.3,0.2,0.6,,0.2,0.4,,,6.5
352,Javi Sánchez,1,,2,,4,,,,6.5
353,Óscar Duarte,1.1,1.2,0.7,0.3,3.1,0.3,0.6,1,6.5
354,David Ferreiro,1,0.7,1.2,0.1,0.3,1.5,,,6.5
355,Jordi Amat,1.7,1.4,1.5,1.2,3.8,0.6,0.3,,6.5
356,Denis Suárez,,,,,,,,,6.5
357,Arthur,0.6,0.3,0.4,,0.3,0.3,,,6.49
358,Mubarak Wakaso,1.6,0.6,1.1,,0.6,0.8,0.3,,6.49
359,Júnior Alonso,1.4,0.6,0.7,,2.2,0.6,0.3,,6.49
360,Ryad Boudebouz,0.9,0.6,0.6,,0.2,0.7,0.1,,6.49
361,Marko Rog,1.2,0.8,1.4,,0.1,0.4,,,6.48
362,Roque Mesa,1.5,0.5,1.5,,0.3,0.7,,,6.48
363,Loren Morón,0.5,0.2,0.9,,0.5,0.6,,,6.48
364,Juanmi,0.7,0.5,0.9,,0.3,0.5,,,6.48
365,Rubén Sobrino,0.8,0.1,1.4,,0.5,0.4,0.1,,6.48
366,Waldo Rubio,0.5,0.1,0.9,,0.9,0.6,,,6.48
367,Antonio Adán,,,,,,,,,6.47
368,Ignasi Miquel,0.1,0.7,0.9,,3.4,0.1,0.6,,6.47
369,Francisco Portillo,0.8,0.5,0.9,,0.1,0.6,,,6.47
370,Álex Gallar,0.6,0.4,0.2,,0.2,0.4,,,6.47
371,Samu Sáiz,0.4,,0.3,,0.2,0.3,,,6.46
372,Sanjin Prcic,1.8,1.1,0.8,,1.1,0.6,0.7,,6.46
373,Jesús Vallejo,1.2,1.4,0.6,0.8,2.4,0.2,0.8,,6.46
374,Iago Herrerín,,,,,0.9,0.1,,,6.46
375,Víctor Sánchez,1.9,1,2,,1.0,2.2,0.1,,6.46
376,Diego Costa,0.3,0.1,1.4,,0.4,0.4,,,6.46
377,Jeison Murillo,1,,,0.5,2.5,1.5,,,6.46
378,Ángel Rodríguez,0.4,0.2,1.1,0.1,0.2,0.5,,,6.46
379,Luisinho,2,2.3,1.1,0.1,2.1,1.0,0.1,,6.46
380,Xavi Quintillá,1.4,1.1,1.0,0.3,1.9,0.9,0.3,,6.45
381,Gonzalo Melero,1.2,0.1,1.5,,1,1.7,0.2,,6.45
382,Pablo De Blasis,1.3,0.5,0.8,0.2,0.8,0.8,,,6.45
383,Antonio Luna,0.9,0.9,0.9,0.1,2.3,1.1,0.4,,6.45
384,Pedro López,0.6,0.9,0.8,0.2,0.7,0.4,0.3,,6.45
