,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
130,Karl Toko Ekambi,1,0.8,14.7,74.7,0.1,0.4,0.0,6.83
131,Javi López,0.0,0.7,37.0,78.1,0.4,1.3,0.0,6.83
132,Iker Muniain,4,0.9,34.9,85.9,0.2,1.0,0.2,6.83
133,Andriy Lunin,0.0,0.0,21.0,61.0,0.0,7.2,0.0,6.82
134,Oier Olazábal,0.0,0.0,22.8,54.4,0.0,7.0,0.0,6.82
135,Joel Robles,0.0,0.0,32.6,76.7,0.0,6.2,0.0,6.81
136,Djené Dakonam,0.0,0.1,28.6,71.9,0.1,3.1,0.0,6.81
137,Igor Zubeldia,1,0.2,36.4,85.8,0.0,2.4,0.0,6.81
138,Marcelo,2,1.4,57.6,83.5,0.8,3.4,0.0,6.81
139,Alejandro Catena,0.0,0.0,49.5,85.9,0.0,2.5,0.0,6.81
140,Toni Villa,2,0.9,21.2,78.0,0.3,0.6,0.0,6.8
141,Sergi Enrich,4,0.8,26.4,71.5,0.0,0.6,0.0,6.8
142,Munir El Haddadi,1,0.7,19.9,74.2,0.1,0.3,0.0,6.8
143,Joseba Zaldua,2,0.5,34.6,77.4,0.8,1.5,0.0,6.8
144,Ramiro Funes Mori,1,0.2,39.1,81.0,0.0,4.0,0.0,6.8
145,Manu Morlanes,3,0.9,32.0,84.1,0.0,2.2,0.2,6.8
146,Borja García,3,1.1,39.0,82.8,0.3,2.3,0.3,6.8
147,Dídac Vilá,2,0.7,41.1,73.2,0.4,2.5,0.0,6.79
148,William Carvalho,5,0.6,63.5,89.0,0.0,3.4,0.1,6.79
149,Sergi Guardiola,1,0.5,20.4,65.6,0.1,0.9,0.1,6.79
150,David Juncà,3,0.8,39.5,83.5,0.6,1.5,0.0,6.79
151,Gerard Moreno,1,1.1,21.1,71.8,0.1,1.3,0.1,6.79
152,Abdoulaye Ba,0.0,0.1,40.3,82.4,0.0,3.7,0.0,6.78
153,Lucas Olaza,2,0.7,37.2,79.3,0.8,2.2,0.0,6.78
154,Nemanja Maksimovic,0.0,0.3,21.4,75.6,0.0,0.8,0.0,6.78
155,Samuel Chukwueze,2,0.8,19.4,73.4,0.1,1.0,0.0,6.78
156,Mario Suárez,0.0,0.7,41.3,79.2,0.1,2.3,0.0,6.78
157,Marco Asensio,4,1.0,30.4,86.8,0.8,1.0,0.2,6.78
158,Kenneth Omeruo,0.0,0.1,34.4,80.3,0.0,3.7,0.0,6.78
159,Sergi Darder,2,1.1,36.3,79.8,0.6,1.9,0.2,6.78
160,Raphaël Varane,0.0,0.1,53.3,89.0,0.0,4.1,0.0,6.78
161,Adrián Embarba,6,1.5,16.2,71.9,1.5,0.6,0.1,6.78
162,Cristian Tello,6,1.0,26.8,85.5,0.3,1.1,0.0,6.78
163,Tomás Pina,0.0,0.8,37.6,82.8,0.0,1.6,0.0,6.77
164,Rubén Duarte,0.0,0.8,27.9,67.2,0.8,2.3,0.0,6.77
165,Carlos Soler,6,1.1,29.1,79.5,0.5,1.2,0.1,6.77
166,Mikel Vesga,1,0.6,30.2,80.1,0.2,1.6,0.0,6.77
167,Bernardo Espinosa,1,0.3,44.9,86.0,0.0,3.3,0.0,6.77
168,Vinícius Júnior,0.0,0.8,15.8,76.1,0.3,0.3,0.1,6.77
169,Víctor Laguardia,2,0.2,35.2,70.5,0.0,4.2,0.0,6.76
170,Raúl García,1,0.6,33.6,73.2,1,1.8,0.0,6.76
171,Dani Ceballos,0.0,1,44.1,92.6,0.1,2.0,0.0,6.76
172,Mauro Arambarri,2,0.5,22.4,69.4,0.1,3.2,0.0,6.76
173,David Soria,0.0,0.1,28.0,40.4,0.0,10.1,0.0,6.76
174,Keylor Navas,0.0,0.0,23.6,75.0,0.0,4.0,0.0,6.76
175,Jason,5,1,21.7,69.1,0.4,1.0,0.1,6.76
176,Juanpe,0.0,0.2,46.9,81.5,0.0,3.5,0.0,6.76
177,Jorge Pulido,3,0.4,28.8,75.4,0.2,1.8,0.0,6.75
178,Asier Illarramendi,1,0.5,53.8,84.9,0.2,3.0,0.2,6.75
179,Diego Llorente,0.0,0.1,52.3,84.8,0.0,4.1,0.0,6.74
180,Álvaro Odriozola,2,1.3,42.4,90.6,0.7,1.0,0.0,6.74
181,Willian José,5,1.2,24.4,74.8,0.1,2.0,0.0,6.74
182,Brahim Díaz,1,0.8,18.1,85.9,0.0,0.1,0.1,6.74
183,Christian Rivera,0.0,0.5,31.0,79.5,0.0,1.7,0.0,6.74
184,Denis Cheryshev,2,1.4,22.4,69.0,0.7,0.8,0.0,6.74
185,Unai Bustinza,1,0.4,34.6,71.4,0.2,3.4,0.0,6.74
186,Fernando Pacheco,0.0,0.1,27.3,52.4,0.0,9.3,0.0,6.74
187,Daniel Wass,3,1.0,35.9,78.0,0.5,1.4,0.0,6.74
188,Ibai Gómez,2,1.2,27.8,72.3,0.9,1.7,0.0,6.74
189,Álex Moreno,1,0.9,30.6,76.3,0.4,1.3,0.0,6.73
190,Néstor Araújo,0.0,0.1,46.6,86.0,0.1,2.5,0.0,6.73
191,Rodrigo Ely,0.0,0.4,32.0,71.3,0.0,3.8,0.0,6.73
192,Fernando Calero,0.0,0.1,40.3,83.6,0.0,2.8,0.0,6.73
193,Andrés Fernández,0.0,0.2,28.5,69.0,0.0,8.8,0.0,6.73
194,Álex Gálvez,0.0,0.2,40.5,81.1,0.0,2.8,0.1,6.73
195,Enis Bardhi,4,0.8,30.6,76.4,0.4,1.6,0.1,6.73
196,Yassine Bounou,0.0,0.0,26.5,62.7,0.0,7.1,0.0,6.73
197,Raúl Navas,0.0,0.4,54.0,86.6,0.1,4.1,0.0,6.72
198,Alfonso Pedraza,3,0.7,20.9,75.8,0.5,0.5,0.1,6.72
199,Gabriel Mercado,1,0.1,32.3,82.0,0.1,1.8,0.0,6.72
200,Aitor Fernández,0.0,0.1,23.4,52.9,0.0,6.4,0.0,6.72
201,Roberto Santamaría,0.0,0.1,27.3,50.0,0.0,11.2,0.0,6.72
202,David López,0.0,0.2,57.5,88.3,0.0,4.4,0.0,6.72
203,Diego López,0.0,0.0,28.1,65.9,0.0,6.9,0.0,6.72
