,Player,age,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
461,Seong-hoon Cheon,20,Forward,Augsburg,0,0,0,North Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,Serge Gnabry,25,Forward,Bayern München,1771,941,830,Germany,30,14,16,10,4,6,5,3,2,0,0,10,6,4,16,5,11,0,0,0.76,0.25,0.51,0.38,0.65,177,0.81,111,59,0,354,0,26,37,-1,2,1.2,0.4,0.8,0,0.1,0.8,0,0,10,5,2.2,0.9,1.7,0.5,0.4,1,1.5,5,0.9,26.4,83.4,0.3,1,0.1
463,Sergio Duvan Córdova Lezama,23,Forward,Augsburg,515,249,266,Venezuela,20,10,10,3,3,0,0,0,0,0,0,2,1,1,15,6,9,1,0,0.52,0,0.52,1.08,0,172,2.62,34,26,515,0,0.17,24,308,-1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,Sergio Gómez Martín,20,Forward,Borussia Dortmund,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,Shinji Kagawa,32,Midfielder,Borussia Dortmund,98,28,70,Japan,2,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0.92,98,49,0,0,0,-1,-1,-1,23,0,0,0.5,0,0,0,0,0,0,0,2,0,0,0,0,1,0.5,0,0,36.5,89,0,1,0
466,Simon Asta,20,Defender,Augsburg,90,0,90,Germany,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,8,1,0,0,0,0,0,0,0,8,11,90,90,0,1,-1,-1,-1,29,6,3,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,31,48.4,1,0,0
467,Simon Falette,29,Defender,Eintracht Frankfurt,601,241,360,France,7,3,4,0,0,0,0,0,0,0,0,0,0,0,13,6,7,0,0,0,0,0,0,0,0,1.95,46,86,0,0,0,240,244,118,20,1.3,2,0.7,0.7,4.6,0.6,0.7,0,0,0,0.4,0,0,0.6,0.1,0.6,0.6,0,0,41.4,73.8,0,2.4,0
468,Simon Rhein,22,Midfielder,Nürnberg,497,263,234,Germany,8,3,5,0,0,0,0,0,0,0,0,0,0,0,12,3,9,2,1,0,0,0,0,0,0,2.17,41,62,166,0,0.54,248,278,-1,16,0.9,0.9,0.6,0,0.6,0.6,0.1,0,0,0,0.1,0.1,0.6,0.3,0,0.6,0.6,0,0.1,35.5,85.2,0,1.8,0
469,Stefan Bell,29,Defender,Mainz 05,2250,1080,1170,Germany,25,12,13,0,0,0,0,0,0,0,0,5,4,1,44,15,29,7,0,0,0,0,0,0,0,1.76,51,90,321,0,0.28,328,329,102,19,1.2,2.2,1.6,0.6,4.8,0.8,0.4,0,0,0,0.7,0.8,0.6,0.6,0.2,0.4,0.4,0,0.8,48,79.8,0.1,5,0
470,Stefan Ilsanker,31,Midfielder,RB Leipzig,927,537,390,Austria,19,11,8,0,0,0,0,0,0,0,0,8,6,2,8,4,4,6,1,0,0,0,0,0,0,0.78,116,49,132,0,0.68,272,331,-1,19,1.4,0.9,1.1,0.5,2.3,0.5,0.1,0,0,0,0.2,0.2,0.1,0.5,0,0.1,0.4,0,0.2,24.1,78.6,0,2.1,0
