,Player,age,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
612,Yacine Adli,20,Midfielder,Bordeaux,213,126,87,France,7,5,2,0,0,0,0,0,0,0,0,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0.85,107,30,213,0,0.42,-1,-1,-1,12,1,0.3,0.6,0,0,0.9,0,0,0,0,0.1,0.9,1.3,0.1,0,0.7,1.6,0,0.9,19.9,77.7,0.1,0.7,0.1
613,Yacine Bammou,29,Forward,Caen,918,519,399,Morocco,17,9,8,2,2,0,0,0,0,1,0,3,2,1,10,3,7,2,0,0.2,0,0.2,0.35,0,459,0.98,92,54,459,0,0.2,90,392,-1,7,0.8,0.5,0.5,0,0.9,0.3,0.2,0,2,0,1,0.4,0.2,0.5,0.2,1,1.2,0,0.4,17.6,76.3,0.2,0.3,0
614,Yanis Ammour,21,Forward,Montpellier,1,1,0,France,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,Yann Bodiger,26,Midfielder,Toulouse,12,0,12,France,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,-1,-1,-1,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,69.2,0,0,0
616,Yann Gboho,20,Midfielder,Rennes,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617,Yann Karamoh,22,Forward,Bordeaux,1224,550,674,France,22,10,12,3,1,2,1,1,0,0,0,7,4,3,13,7,6,2,0,0.29,0.07,0.22,0.16,0.27,408,0.96,94,56,612,1224,0.15,80,176,-1,3,0.3,0.3,0.5,0,0.1,0.5,0,0,3,1,1.6,1.2,2,1.2,0.2,1.7,1.8,1,1.2,20.8,77.3,0.9,0.5,0.1
618,Yann M'Vila,30,Midfielder,Saint-Étienne,3260,1710,1550,France,37,19,18,0,0,0,1,1,0,0,0,13,8,5,33,13,20,6,1,0.03,0.03,0,0,0,0,0.91,99,88,466,3260,0.19,409,233,-1,26,1.9,2,0.5,0,2.1,1.2,0.3,0,0,1,0.4,0.7,0.3,0.9,0,0.5,0.5,1,0.7,61.8,86.2,0.1,6.5,0.1
619,Yannick Cahuzac,36,Midfielder,Toulouse,1428,680,748,France,23,11,12,1,0,1,0,0,0,0,0,5,2,3,24,8,16,9,1,0.06,0,0.06,0,0.12,1428,1.51,60,62,143,0,0.63,199,315,-1,13,1.4,1.1,1,0.1,2.3,0.7,0.2,0,1,0,0.1,0.3,0,0.8,0,0.1,0.2,0,0.3,23.7,81.8,0,0.4,0
620,Yannis Clementia,23,Goalkeeper,Nice,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
621,Yannis Salibur,30,Forward,Saint-Étienne,896,505,391,France,22,12,10,1,0,1,3,3,0,0,0,7,6,1,14,4,10,3,1,0.4,0.3,0.1,0,0.23,896,1.41,64,41,299,299,0.3,162,14,-1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
