,Player,Tackles,Inter,Fouls,Offsides,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
107,Salvatore Sirigu,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,29.0,68.6,0.0,8.6,0.0
108,Stefano Sturaro,2.4,0.6,2.4,0.0,1.4,0.3,0.0,1.0,2.0,1.1,0.7,1.1,2.0,0.1,1.0,1.9,2.0,0.7,28.5,73.2,0.4,1.8,0.1
109,Domenico Criscito,2.0,2.0,1.2,0.3,2.5,0.5,0.0,8.0,0.0,0.9,0.8,0.3,1.6,0.0,0.3,0.5,0.0,0.8,40.3,79.6,0.5,3.2,0.0
110,Gonzalo Higuaín,0.4,0.2,0.6,0.0,0.4,0.0,0.0,8.0,4.0,2.3,1.2,0.7,0.5,0.4,0.6,1.1,4.0,1.2,19.7,82.4,0.1,1.3,0.1
111,Luca Gagliano,0.0,0.5,1.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.5,0.0,0.0,1.0,1.0,0.5,4.5,77.8,0.0,0.5,0.0
112,Mário Rui,1.3,0.9,0.9,0.3,1.4,0.2,0.0,0.0,2.0,1.3,1.5,1.0,2.3,0.1,0.6,0.7,2.0,1.5,71.3,84.6,1.1,2.5,0.0
113,Fabio Quagliarella,0.3,0.3,0.7,0.0,0.5,0.0,0.0,11.0,3.0,3.6,1.3,0.5,1.1,0.8,0.9,2.1,3.0,1.3,18.5,67.2,0.2,0.8,0.1
114,Samu Castillejo,1.0,1.0,0.6,0.0,0.1,0.1,0.0,2.0,3.0,1.3,1.9,0.9,0.9,0.3,0.9,1.4,3.0,1.9,20.3,81.0,0.7,0.9,0.0
115,Rodrigo Palacio,0.5,0.1,0.9,0.0,1.0,0.1,0.0,7.0,3.0,1.7,1.5,1.0,1.5,0.8,1.4,3.1,3.0,1.5,26.5,77.3,0.5,0.6,0.0
116,Gianluca Lapadula,0.6,0.0,1.7,0.0,0.6,0.0,0.0,11.0,0.0,2.4,0.9,0.7,2.3,1.0,1.4,2.1,0.0,0.9,12.6,76.3,0.0,0.3,0.0
117,Adrien Rabiot,1.7,1.1,1.8,0.0,0.5,0.2,0.0,1.0,1.0,0.7,0.5,1.3,1.0,0.0,0.9,1.2,1.0,0.5,39.0,90.0,0.1,0.9,0.0
118,Jasmin Kurtic ,1.3,0.6,1.1,0.0,1.3,0.1,0.0,2.0,0.0,2.9,1.6,1.1,2.0,0.1,1.0,1.0,0.0,1.6,37.2,80.2,1.3,1.9,0.1
119,Manolo Gabbiadini,0.3,0.3,0.9,0.0,0.3,0.0,0.0,11.0,1.0,2.6,1.2,0.4,1.2,0.5,0.8,1.2,1.0,1.2,15.2,68.5,0.5,0.2,0.0
120,Stefan Radu,1.5,1.2,1.1,0.2,2.9,0.3,0.0,1.0,0.0,0.1,0.4,0.6,0.7,0.0,0.1,0.4,0.0,0.4,45.4,88.4,0.4,3.0,0.0
121,Takehiro Tomiyasu,1.4,1.7,1.3,0.3,2.3,0.3,0.0,1.0,3.0,0.7,0.6,1.1,1.0,0.0,0.6,1.0,3.0,0.6,48.5,82.7,0.2,2.0,0.0
122,Filip Djuricic,0.8,0.3,1.2,0.0,0.4,0.1,0.0,5.0,5.0,1.4,1.3,1.2,1.6,0.1,1.2,1.5,5.0,1.3,23.0,80.5,0.3,0.6,0.1
123,Thomas Strakosha,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,28.6,75.6,0.0,5.7,0.0
124,Matteo Politano,0.8,0.3,0.5,0.0,0.1,0.0,0.0,2.0,2.0,1.3,1.3,1.2,1.1,0.0,0.7,0.9,2.0,1.3,21.1,84.5,0.3,0.3,0.1
125,Antonio Candreva,0.3,0.4,0.5,0.0,0.7,0.3,0.0,5.0,7.0,1.3,1.5,0.3,0.6,0.4,0.3,0.9,7.0,1.5,31.4,82.7,1.3,2.3,0.0
126,Gianluigi Donnarumma,0.0,0.1,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,26.6,73.5,0.0,6.3,0.0
127,Ken Sema,1.8,0.5,1.0,0.0,1.0,0.2,0.0,2.0,1.0,0.5,1.2,1.6,0.5,0.1,0.8,1.3,1.0,1.2,22.7,78.1,1.3,0.7,0.0
128,Cristian Romero,1.7,2.5,1.6,0.4,3.7,1.1,0.0,1.0,1.0,0.5,0.3,0.6,0.8,0.1,0.1,0.3,1.0,0.3,50.7,88.4,0.0,2.7,0.0
129,Rafael Tolói,1.7,1.4,1.1,0.2,2.4,0.5,0.0,2.0,6.0,0.8,0.5,0.3,0.5,0.1,0.2,0.5,6.0,0.5,50.0,81.4,0.0,2.8,0.0
