,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
249,Davide Calabria,1,1,0.5,0.5,0.4,0.9,0.0,0.1,0.8,6.62
250,Jhon Chancellor,3,0.0,0.5,0.0,0.2,0.3,0.1,0.2,0.5,6.62
251,Marco Sportiello,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.62
252,Marlon Santos,0.0,0.0,0.2,0.4,0.1,0.5,0.0,0.1,0.3,6.61
253,Emiliano Rigoni,0.0,1,0.9,1.9,1.3,0.9,0.1,1.1,1.9,6.61
254,Gonzalo Maroni,0.0,1,1,2,1.4,0.2,0.0,0.4,0.8,6.61
255,Ricardo Rodríguez,0.0,0.0,0.2,0.2,0.0,0.6,0.0,1,0.0,6.61
256,Milan Skriniar,0.0,0.0,0.4,0.3,0.2,0.8,0.0,0.3,0.3,6.61
257,Christian Eriksen,1,2,1.4,1.3,0.4,0.1,0.0,0.3,0.7,6.6
258,Antonin Barak,2,1,2.1,1.1,0.6,0.6,0.1,1.3,1,6.6
259,Sebastien De Maio,0.0,0.0,0.4,0.0,0.0,0.4,0.1,0.1,0.3,6.6
260,Thiago Cionek ,0.0,1,0.4,0.6,0.4,1.9,0.0,0.4,0.7,6.59
261,Andrea Poli,2,0.0,0.9,0.6,0.5,1.0,0.0,0.5,0.7,6.59
262,Alex Ferrari,0.0,0.0,0.3,0.2,0.4,1.1,0.0,0.3,0.8,6.59
263,Julian Chabot,1,0.0,0.1,0.0,0.3,0.8,0.0,0.0,0.6,6.59
264,Pol Lirola,0.0,2,0.7,1,1.3,0.2,0.0,0.4,1.1,6.59
265,Kevin Lasagna,10,1,2.2,0.6,0.3,0.9,0.4,0.8,2.2,6.59
266,Hamed Traore,4,1,1.5,1,0.8,0.7,0.2,0.8,1.0,6.59
267,Pau López,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,6.59
268,Pedro Obiang,1,1,0.9,0.6,0.8,0.8,0.0,0.5,0.7,6.59
269,Gastón Brugman ,0.0,2,0.4,0.5,0.4,0.8,0.0,0.4,0.3,6.59
270,David Ospina,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.0,6.59
271,Wilfried Stephane Singo,1,0.0,0.5,0.8,0.8,0.8,0.0,0.3,0.3,6.59
272,Gianluca Caprari ,2,0.0,1.3,1.3,1.1,1.3,0.2,1.1,1.2,6.58
273,Samir,1,0.0,0.2,0.3,0.2,1.1,0.0,0.1,0.4,6.58
274,Andrea Conti,0.0,2,0.0,0.5,0.3,1.0,0.0,0.3,0.6,6.58
275,Matteo Darmian ,1,1,0.2,0.4,0.3,1.4,0.1,0.4,0.7,6.58
276,Alessandro Florenzi,0.0,1,1,0.9,0.2,0.9,0.1,0.3,0.3,6.58
277,Emil Audero,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.57
278,Martín Cáceres,1,0.0,0.4,0.6,0.0,0.6,0.0,0.1,0.3,6.57
